Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Franklin Carabali,0.0,0.64,0.57,0.07,2.29,0.0,0.43,0.0,20.86,73.29,36.92,0.93,63.64,50.0,1.21,14,2,2,Ecuador Serie A,3
Jose Luis Monaga Quinonez,0.0,0.86,0.45,0.09,0.77,0.0,0.45,0.05,18.41,72.59,38.24,0.82,54.84,48.41,1.36,22,2,2,Ecuador Serie A,3
Rody Zambrano,0.0,0.57,0.62,0.1,1.0,0.0,0.57,0.05,19.0,69.67,30.0,1.0,56.25,37.96,1.67,21,2,2,Ecuador Serie A,3
Josué Cuero,0.0,1.11,1.06,0.0,1.56,0.0,0.5,0.0,16.44,61.82,26.0,0.94,50.0,49.0,1.33,18,1,2,Ecuador Serie A,3
Matias Ferreira,0.0,0.5,0.57,0.0,0.64,0.0,0.21,0.0,6.64,64.52,34.78,0.79,0.0,44.83,0.5,14,2,2,Ecuador Serie A,3
Kai Wagner,0.0,1.39,1.69,0.06,1.64,0.0,0.67,0.39,37.06,74.44,52.44,0.64,71.67,58.85,1.08,36,2,2,EEUU MLS,4
Brooks Lennon,0.08,1.36,0.28,0.0,1.36,0.0,0.48,0.36,38.28,85.89,42.62,1.28,38.0,49.02,0.56,25,2,2,EEUU MLS,4
Domenico Criscito,0.07,2.53,1.53,0.0,2.4,0.0,0.8,0.07,49.53,83.04,53.85,1.0,71.43,69.64,0.6,15,3,2,EEUU MLS,4
Matthew Miazga,0.17,1.33,1.5,0.0,4.17,0.0,0.17,0.17,38.25,78.43,54.43,0.75,78.0,68.18,1.17,12,2,2,EEUU MLS,4
Brandon Bye,0.07,1.41,1.03,0.0,2.59,0.03,0.31,0.21,40.34,78.12,38.16,1.24,63.64,58.6,1.07,29,2,2,EEUU MLS,4
Jack Elliott,0.11,1.71,1.34,0.03,5.17,0.0,0.6,0.03,38.77,75.83,42.01,0.66,63.93,59.41,1.06,35,2,2,EEUU MLS,4
