Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Andres Arroyo,0.13,0.13,1.26,1.43,0.13,3.7,0.0,0.57,0.0,21.78,57.88,2.22,32.94,1.43,59.8,53.33,1.83,23.0,1.0,2.0,Ecuador Serie A,3.0
Bryan Nazareno,0.06,0.0,0.53,1.06,0.06,0.82,0.0,0.29,0.0,15.24,71.81,3.18,37.29,1.0,35.71,44.44,0.82,17.0,1.0,2.0,Ecuador Serie A,3.0
Richard Farias,0.0,0.0,0.45,0.64,0.09,0.64,0.0,0.64,0.09,19.73,86.18,3.45,67.74,0.55,71.43,56.6,0.73,11.0,2.0,2.0,Ecuador Serie A,3.0
William Vargas,0.03,0.0,0.62,0.38,0.03,1.41,0.0,0.34,0.03,26.41,81.33,3.76,45.45,1.07,54.55,50.68,0.76,29.0,2.0,2.0,Ecuador Serie A,3.0
Federico Arbeláez,0.0,0.0,1.35,0.82,0.06,1.29,0.0,0.24,0.0,29.76,75.69,4.24,30.49,0.94,59.09,58.59,0.88,17.0,2.0,2.0,Ecuador Serie A,3.0
Byron Torrez,0.0,0.0,1.4,1.1,0.0,1.5,0.0,0.7,0.05,18.0,75.83,2.95,27.78,1.4,65.0,58.96,0.6,20.0,2.0,2.0,Ecuador Serie A,3.0
Roberto Luzárraga,0.0,0.0,0.42,0.58,0.17,2.42,0.0,0.33,0.0,20.25,65.84,1.0,40.85,0.75,78.79,52.31,1.42,12.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Mejía,0.0,0.0,0.25,1.0,0.0,2.17,0.0,0.17,0.08,25.58,81.43,1.33,48.08,0.75,59.38,50.82,1.08,12.0,2.0,2.0,Ecuador Serie A,3.0
Edgar Lastre,0.06,0.0,0.06,0.06,0.06,0.17,0.0,0.06,0.0,6.0,76.85,1.83,70.0,0.44,50.0,50.0,0.33,18.0,1.0,2.0,Ecuador Serie A,3.0
Jhonnier Estrada,0.0,0.0,0.36,0.82,0.0,1.82,0.0,0.45,0.0,25.09,76.09,2.09,37.78,0.64,58.33,38.46,1.09,11.0,2.0,2.0,Ecuador Serie A,3.0
Dubar Enríquez,0.0,0.0,0.42,0.5,0.0,2.17,0.0,0.25,0.0,10.75,67.44,1.0,46.34,1.08,50.0,56.9,0.33,12.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Quiñónez,0.0,0.0,0.56,0.61,0.0,1.72,0.0,0.11,0.0,25.39,68.93,4.39,35.87,0.78,54.29,53.85,0.72,18.0,1.0,2.0,Ecuador Serie A,3.0
Franklin Carabali,0.0,0.0,0.64,0.57,0.07,2.29,0.0,0.43,0.0,20.86,73.29,2.36,36.92,0.93,63.64,50.0,1.21,14.0,2.0,2.0,Ecuador Serie A,3.0
Jose Luis Monaga Quinonez,0.0,0.0,0.86,0.45,0.09,0.77,0.0,0.45,0.05,18.41,72.59,3.77,38.24,0.82,54.84,48.41,1.36,22.0,2.0,2.0,Ecuador Serie A,3.0
Rody Zambrano,0.0,0.0,0.57,0.62,0.1,1.0,0.0,0.57,0.05,19.0,69.67,3.19,30.0,1.0,56.25,37.96,1.67,21.0,2.0,2.0,Ecuador Serie A,3.0
Josué Cuero,0.0,0.0,1.11,1.06,0.0,1.56,0.0,0.5,0.0,16.44,61.82,2.0,26.0,0.94,50.0,49.0,1.33,18.0,1.0,2.0,Ecuador Serie A,3.0
Matias Ferreira,0.0,0.0,0.5,0.57,0.0,0.64,0.0,0.21,0.0,6.64,64.52,0.71,34.78,0.79,0.0,44.83,0.5,14.0,2.0,2.0,Ecuador Serie A,3.0
