Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Bryan Rivera,0.0,0.0,1.23,1.0,0.0,1.5,0.0,0.38,0.08,0.26880000000000004,0.7123999999999999,0.00438,0.3274,0.85,0.625,0.5221,1.23,26.0,2.0,2.0,Ecuador Serie A,3.0
Pedro Perlaza,0.0,0.0,1.05,0.71,0.0,1.05,0.0,0.52,0.1,0.2205,0.7646,0.004,0.4286,0.86,0.4211,0.5245000000000001,0.76,21.0,3.0,2.0,Ecuador Serie A,3.0
Jhoanner Chávez,0.13,0.0,0.53,0.27,0.0,0.33,0.0,0.33,0.07,0.204,0.866,0.00513,0.5882,0.27,0.4286,0.35480000000000006,1.53,15.0,1.0,2.0,Ecuador Serie A,3.0
Robinson Requene,0.0,0.0,1.59,0.41,0.0,1.24,0.0,0.35,0.0,0.16760000000000003,0.7439,0.00312,0.36840000000000006,0.71,0.25,0.5114,0.88,17.0,3.0,2.0,Ecuador Serie A,3.0
Daniel Patino,0.0,0.0,1.74,1.04,0.0,0.96,0.0,0.52,0.13,0.1391,0.6281,0.0033900000000000002,0.2933,0.96,0.3846,0.47859999999999997,1.35,23.0,2.0,2.0,Ecuador Serie A,3.0
Carlos Cuero,0.08,0.0,1.08,0.63,0.04,1.17,0.0,0.42,0.13,0.25920000000000004,0.7476,0.005580000000000001,0.4302,0.92,0.5429,0.45510000000000006,2.0,24.0,2.0,2.0,Ecuador Serie A,3.0
Gregori Anangonó,0.05,0.0,1.36,0.73,0.09,1.27,0.0,0.36,0.14,0.3055,0.7737999999999998,0.005860000000000001,0.44439999999999996,0.91,0.6537999999999999,0.4968,1.45,22.0,2.0,2.0,Ecuador Serie A,3.0
Milton Bolaños,0.0,0.0,0.59,1.0,0.0,1.06,0.0,0.65,0.0,0.26589999999999997,0.7565999999999999,0.005180000000000001,0.6563,1.12,0.4286,0.4559,0.71,17.0,3.0,2.0,Ecuador Serie A,3.0
Cristian Enciso,0.05,0.0,0.32,1.0,0.09,3.73,0.0,0.32,0.0,0.2636,0.6914,0.00155,0.4293,1.32,0.5781000000000001,0.5328,0.95,22.0,3.0,2.0,Ecuador Serie A,3.0
Eddie Guevara,0.0,0.0,0.7,1.1,0.0,3.8,0.0,0.4,0.05,0.319,0.7931,0.0025,0.5679000000000001,1.3,0.6415000000000001,0.5463,1.1,20.0,3.0,2.0,Ecuador Serie A,3.0
Edwin Mesa,0.0,0.0,1.64,0.92,0.04,1.72,0.0,0.52,0.04,0.17800000000000002,0.6448999999999999,0.00296,0.3529,1.16,0.5714,0.6069,0.48,25.0,2.0,2.0,Ecuador Serie A,3.0
Segundo Portocarrero,0.04,0.04,0.58,0.88,0.0,0.69,0.0,0.35,0.08,0.1869,0.7551000000000001,0.00319,0.31939999999999996,0.81,0.6842,0.5674,1.23,26.0,2.0,2.0,Ecuador Serie A,3.0
Yardely Rodriguez,0.0,0.0,1.5,1.14,0.14,3.59,0.0,0.27,0.05,0.3118,0.7726000000000001,0.00214,0.4083,1.36,0.6528,0.6211,1.05,22.0,2.0,2.0,Ecuador Serie A,3.0
