Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Interceptions,Big chances created,Assists,Accurate passes %,Aerial duels won %,Total duels won %,Was fouled,Appearances,Age Range,Position,League,Level
Tesho Akindele,0.11,0.11,22.22,0.79,0.04,0.0,0.11,0.04,0.0,70.33,53.85,45.54,0.14,28.0,3.0,4.0,EEUU MLS,4.0
Anderson Julio,0.15,0.2,50.0,1.0,0.1,0.0,0.1,0.05,0.05,76.84,31.58,34.38,0.3,20.0,2.0,4.0,EEUU MLS,4.0
Jader Obrian,0.06,0.22,56.41,0.75,0.0,0.0,0.22,0.13,0.06,71.39,20.0,41.71,0.59,32.0,2.0,4.0,EEUU MLS,4.0
Þorleifur Úlfarsson,0.13,0.26,60.0,1.23,0.0,0.0,0.13,0.06,0.03,70.54,32.08,43.59,0.48,31.0,1.0,4.0,EEUU MLS,4.0
Jozy Altidore,0.06,0.0,100.0,0.82,0.06,0.0,0.06,0.0,0.0,71.86,54.17,50.0,0.35,17.0,3.0,4.0,EEUU MLS,4.0
Daniel Musovski,0.11,0.21,41.18,0.68,0.0,0.0,0.16,0.11,0.05,65.91,32.0,41.49,0.68,19.0,2.0,4.0,EEUU MLS,4.0
Ethan Zubak,0.0,0.0,45.45,0.36,0.0,0.0,0.09,0.0,0.09,86.54,33.33,36.36,0.18,11.0,2.0,4.0,EEUU MLS,4.0
Khiry Shelton,0.04,0.08,48.28,0.75,0.0,0.0,0.08,0.0,0.04,76.39,43.94,40.0,0.63,24.0,2.0,4.0,EEUU MLS,4.0
Nigel Robertha,0.06,0.06,25.93,0.59,0.0,0.0,0.12,0.29,0.18,78.34,33.33,31.76,0.53,17.0,2.0,4.0,EEUU MLS,4.0
Darren Yapi,0.0,0.0,45.45,0.73,0.0,0.0,0.0,0.0,0.0,64.29,64.71,48.84,0.18,11.0,1.0,4.0,EEUU MLS,4.0
Kimarni Smith,0.06,0.12,50.0,0.47,0.0,0.0,0.18,0.0,0.06,74.19,46.15,45.59,0.53,17.0,2.0,4.0,EEUU MLS,4.0
Ifunanyachi Achara,0.0,0.07,16.67,0.4,0.0,0.0,0.27,0.07,0.07,79.72,50.0,42.86,0.27,15.0,2.0,4.0,EEUU MLS,4.0
Deandre Kerr,0.12,0.15,42.22,0.85,0.04,0.0,0.35,0.04,0.0,76.9,37.8,45.3,1.42,26.0,1.0,4.0,EEUU MLS,4.0
Danny Hoesen,0.2,0.27,62.5,0.93,0.07,0.0,0.0,0.0,0.0,70.97,30.43,28.26,0.0,15.0,3.0,4.0,EEUU MLS,4.0
Orrin McKinze Gaines II.,0.04,0.29,39.53,0.63,0.04,0.0,0.17,0.33,0.17,80.23,25.0,35.51,0.63,24.0,2.0,4.0,EEUU MLS,4.0
