Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Denis Rodríguez,0.0,50.0,0.85,0.0,0.31,0.0,0.38,0.0,0.08,14.31,78.49,3.54,47.83,50.0,45.45,0.38,0.46,13,2,3,Ecuador Serie A,3
Juan Jimenez,0.0,45.0,0.4,0.0,1.07,0.6,0.63,0.0,0.0,20.57,84.12,5.47,54.43,41.67,40.12,0.47,1.33,30,2,3,Ecuador Serie A,3
Renato César,0.0,62.5,0.72,0.0,0.56,0.28,0.17,0.0,0.06,18.0,81.48,4.06,53.85,46.67,47.27,1.33,1.28,18,2,3,Ecuador Serie A,3
Arnaldo Valverde,0.0,50.0,0.46,0.0,0.61,0.11,0.21,0.0,0.04,12.18,74.49,3.29,40.0,35.29,43.66,0.25,0.57,28,3,3,Ecuador Serie A,3
Federico Jesus Flores,0.0,44.44,0.32,0.0,1.09,1.05,0.77,0.05,0.0,25.36,80.11,4.14,54.41,36.36,41.33,1.18,1.68,22,3,3,Ecuador Serie A,3
Luis Castro,0.0,0.0,0.09,0.0,0.64,0.18,0.18,0.0,0.0,5.36,76.27,0.64,28.57,33.33,45.83,0.18,0.55,11,2,3,Ecuador Serie A,3
Jefferson Arce,0.0,50.0,0.44,0.0,0.5,0.13,0.31,0.06,0.0,11.38,82.97,2.31,54.55,42.86,44.0,0.31,0.44,16,1,3,Ecuador Serie A,3
Santiago Zamora,0.0,42.86,0.87,0.0,0.47,0.13,0.27,0.0,0.0,13.6,81.37,3.4,58.82,30.0,40.74,0.6,0.73,15,1,3,Ecuador Serie A,3
Tomson Minda,0.06,46.15,0.89,0.0,0.5,0.22,0.17,0.0,0.0,10.44,77.66,3.06,80.0,44.44,45.54,1.22,1.11,18,1,3,Ecuador Serie A,3
Dixon Vera,0.0,55.0,0.61,0.0,0.78,0.28,0.33,0.17,0.0,9.28,67.07,2.33,42.86,0.0,42.16,1.0,0.94,18,1,3,Ecuador Serie A,3
Jordan Yepez,0.09,33.33,0.64,0.0,0.18,0.09,0.36,0.0,0.0,6.45,74.65,2.09,100.0,37.5,29.79,0.36,1.0,11,1,3,Ecuador Serie A,3
Junior Ayovi,0.0,52.38,0.17,0.0,0.35,0.17,0.13,0.04,0.04,8.48,80.51,2.04,28.57,45.45,45.57,0.52,0.48,23,1,3,Ecuador Serie A,3
Ayrton Preciado,0.0,20.0,0.21,0.0,0.5,0.21,0.36,0.0,0.0,10.86,79.61,3.43,25.0,20.0,30.36,0.43,0.43,14,2,3,Ecuador Serie A,3
Joel Alirio Almache Hidalgo,0.0,63.16,0.36,0.0,1.29,0.14,0.86,0.0,0.0,12.36,83.82,2.14,41.18,50.0,43.96,0.43,1.29,14,2,3,Ecuador Serie A,3
Pedro Larrea,0.04,66.67,0.43,0.0,0.83,0.39,0.65,0.0,0.0,25.96,82.75,4.09,49.02,28.57,42.19,1.0,1.48,23,3,3,Ecuador Serie A,3
Luis Ayala,0.0,20.0,0.47,0.0,0.6,0.2,0.33,0.2,0.13,12.0,73.33,2.8,38.89,37.5,48.28,1.0,1.07,15,2,3,Ecuador Serie A,3
Kevin Sambonino,0.0,50.0,0.12,0.0,0.41,0.18,0.53,0.0,0.0,18.0,83.66,2.35,43.33,42.86,37.5,0.53,0.47,17,1,3,Ecuador Serie A,3
Carles Gil,0.21,60.42,2.09,0.0,0.52,0.27,0.73,0.48,0.27,61.15,82.46,21.48,65.18,28.57,60.63,2.67,0.33,33,3,3,EEUU MLS,4
Đorđe Mihailović,0.38,61.4,1.59,0.0,1.28,0.41,0.66,0.24,0.17,33.07,82.59,10.0,65.33,26.92,51.24,1.55,0.79,29,2,3,EEUU MLS,4
Jefferson Savarino,0.35,64.71,2.9,0.0,0.65,0.3,0.2,0.35,0.25,24.5,82.86,9.4,67.57,13.33,49.18,0.6,0.25,20,2,3,EEUU MLS,4
Maxi Moralez,0.16,74.07,1.5,0.0,1.66,0.41,0.97,0.28,0.19,55.09,82.08,17.13,63.45,28.0,59.0,2.31,1.03,32,3,3,EEUU MLS,4
Thiago Almada,0.21,73.47,2.66,0.0,0.79,0.45,0.69,0.31,0.24,53.93,85.93,18.31,72.41,20.0,50.79,1.07,0.62,29,1,3,EEUU MLS,4
