Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Elian Carabali,0.33,0.0,1.33,0.0,0.42,0.0,0.0,0.08,0.08,0.45,7.2219999999999995,0.11699999999999999,4.286,1.111,3.75,0.5,0.42,12.0,1.0,3.0,Ecuador Serie A,3.0
Sebastián González,0.05,4.0,1.09,0.0,0.77,0.32,0.18,0.23,0.05,2.559,8.632,0.718,7.2219999999999995,6.667,4.625,0.36,0.68,22.0,1.0,3.0,Ecuador Serie A,3.0
Joseph Espinoza,0.0,8.889,0.53,0.0,1.0,0.47,0.42,0.05,0.0,3.905,8.544,0.426,5.632,5.385,5.732,0.68,0.68,19.0,1.0,3.0,Ecuador Serie A,3.0
Leonai Souza de Almeida,0.0,5.714,0.21,0.0,2.29,1.5,0.71,0.04,0.0,3.646,8.583,0.575,7.143000000000001,5.0,5.186999999999999,1.67,2.21,24.0,2.0,3.0,Ecuador Serie A,3.0
Jesús Trindade,0.07,6.0,0.53,0.0,1.67,0.6,0.47,0.0,0.07,3.393,8.114,0.587,6.029,6.364,5.286,0.13,0.87,15.0,2.0,3.0,Ecuador Serie A,3.0
Francisco Gatti,0.08,4.0,1.5,0.0,0.25,0.08,0.25,0.08,0.08,1.217,7.670999999999999,0.317,3.846,3.636,4.878,0.92,0.5,12.0,2.0,3.0,Ecuador Serie A,3.0
Christian Ortíz,0.04,4.8149999999999995,1.08,0.0,1.08,0.72,0.32,0.08,0.08,1.7600000000000002,7.226999999999999,0.43200000000000005,5.25,5.238,5.0,1.0,1.16,25.0,3.0,3.0,Ecuador Serie A,3.0
David Noboa,0.05,8.333,0.68,0.0,1.47,0.53,0.79,0.0,0.0,2.184,8.241,0.321,5.902,6.522,5.2829999999999995,0.42,1.05,19.0,2.0,3.0,Ecuador Serie A,3.0
Esteban Davila,0.15,2.5,0.88,0.0,0.96,0.31,0.27,0.04,0.08,1.292,7.708,0.223,3.6670000000000003,4.194,5.1450000000000005,1.19,1.15,26.0,2.0,3.0,Ecuador Serie A,3.0
Renny Jaramillo,0.04,4.375,0.71,0.0,2.07,1.39,1.14,0.11,0.11,2.939,7.813,0.504,3.902,3.4090000000000003,4.147,0.36,1.39,28.0,2.0,3.0,Ecuador Serie A,3.0
