#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
332,,Marcelo,0,0,0,50,0.2,0
333,,Anastasios Karamanos,0,0,58.33,51.85,0.56,0.56
334,,Bakary Sako,0.1,0,17.65,24.24,0.3,0.5
335,,Daan Rienstra,0.1,0,23.08,39.53,0.48,1
336,,Enzo Gaggi,0.47,0,46.67,40.37,0.93,2
337,,Tymoteusz Puchacz,0.08,0,0,34.78,0.31,0.38
338,,Jonathan Morsay,0.08,0,33.33,38.93,1.38,1
339,,Cican Stanković,0,0,0,0,0,0.17
340,,Gervinho,0,0,0,18.18,0.18,0.18
341,,Enis Çokaj,0,0.05,66.67,57.14,0.25,0.3
342,,Giorgos Xenidis,0.07,0,33.33,47.06,0.43,0.43
343,,Lazaros Christodoulopoulos,0.23,0,50,50,0.92,0.62
344,,Juha Pirinen,0.04,0,92.31,66.67,0.67,0.67
345,,Antonio Luna,0.18,0,53.85,53.08,0.64,0.7
346,,Stefanos Tzimas,0,0,100,33.33,0,1
347,,Tomasz Kędziora,0,0,66.67,47.62,0.5,0.5
348,,Cristian Battocchio,0,0,0,50,0.25,0
349,,Giorgos Prountzos,0,0,66.67,57.14,0.2,0
350,,Filipe Soares,0.15,0,0,35.09,0.4,0.9
351,,Nicolás Quagliata,0,0,0,40,0,0.33
352,,Bruce Kamau,0,0,100,75,0.67,0.33
353,,Reagy Ofosu,0,0,0,42.86,0,0.33
354,,Rachid Bouhenna,0.2,0.2,66.67,69.23,0.8,0.4
355,,Javier Matilla,0.23,0,75,57.58,0.77,0.62
356,,Omar El Kaddouri,0.13,0.04,85.71,50.7,0.87,0.43
357,,Anthony Belmonte,0.47,0,83.33,44.68,0.27,1.47
358,,Ui-Jo Hwang,0,0,0,27.27,0.4,0.6
359,,Pape Cheikh,0.2,0,42.86,44.12,0.8,0.8
360,,Konstantinos Giannoulis,0.1,0,45.45,53.57,0.6,0.4
361,,Diego Biseswar,0.04,0,60,43.55,0.76,0.6
362,,Angelos Tsingaras,0,0,100,71.43,0.33,0.33
