#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
306,,Alex Mowatt,0.07,0.07,26.97,87.47,6.07,48.21
307,,Matheus Martins,0.5,0.17,13.83,74.7,6,60
308,,Paddy McNair,0.07,0,51.3,83.37,6.7,35.86
309,,Nathan Wood,0,0.03,67.05,91.8,5.03,53.52
310,,Tim Krul,0,0,32.44,76.49,0.63,45.45
311,,Aaron Connolly,0,0,6.6,75.76,2.4,100
312,,Dwight Gayle,0.17,0.14,15.69,68.12,4.46,47.83
313,,Jordan Graham,0.16,0.08,15.48,68.99,3.6,48.15
314,,Luke Cundle,0.09,0.13,31.22,88.59,9.09,59.26
315,,Marvin Ekpiteta,0.04,0,30.92,71.67,2.28,34.88
316,,Max Aarons,0.02,0.04,44.76,81.48,10.53,34.98
317,,Regan Slater,0.09,0.09,30.8,84.13,7.09,51.92
318,,Dennis Cirkin,0.04,0.04,26.86,78.19,4.29,29.69
319,,Joe Rankin-Costello,0.04,0.13,37.29,68.04,5.88,34.76
320,,George Baldock,0.17,0.08,28.94,74.28,9.94,26.92
321,,Neil Etheridge,0,0,29,49.14,2,37.23
322,,Matt Godden,0.2,0.13,12.6,62.17,3.93,18.75
323,,Robert Dickie,0,0,41.08,79.95,2.76,33.04
324,,Sam Hutchinson,0.09,0.09,31.09,81.29,2.45,47.69
325,,Sorba Thomas,0.2,0.2,17.68,63.65,4.6,38.79
326,,Jeremy Ngakia,0,0,20.36,70.88,4.93,29.03
327,,Jack Cork,0.03,0.05,41.87,86.96,7.23,50
328,,George Long,0.03,0,27,40.23,2.89,29.35
329,,Joe Allen,0,0.04,29.96,87.85,6.08,34.38
330,,Sam Gallagher,0.06,0.06,12.68,54.76,3.35,20
331,,Jordan Hugill,0.08,0,11.8,48.81,3.12,75
332,,Josh Ruffels,0.03,0,27.45,62.69,4.7,28.4
333,,Tyler Blackett,0,0,15.83,61.05,2.5,25
334,,Bailey Wright,0,0,26.43,76.94,2.1,41.67
335,,Álvaro Fernández,0.15,0.1,25.44,69.15,5.69,39.52
336,,Óscar Estupiñán,0.09,0.03,10.54,63.69,1.77,36.36
337,,Will Keane,0.07,0.05,17.84,81.62,3.84,57.69
338,,Jack Bonham,0,0,27.13,64.26,1.22,36.68
