Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Lucas Paquetá,0.14,0.11,60,1.89,0.04,0,2.54,0.57,0,1.11,0,1.43,0.11,0.11,40.14,80.16,10.04,73.44,0,0,0,0,1.14,0.25,0.18,0,52.94,47.75,1.07,1.79,28
Christian Eriksen,0.04,0.18,47.06,1.39,0,0,0.79,0.39,0,0.71,0.04,0.79,0.21,0.29,49.68,84.62,13.29,54.7,0,0.04,0,0,0.71,0.18,0.11,0,40.91,39.2,0.36,0.46,28
Christian Nørgaard,0.05,0,44.44,0.86,0,0,2.36,1.55,0,1.82,0,1.36,0.18,0.14,36.05,76.29,5.86,41.67,0,0.23,0,0,0.91,0.14,0.27,0,47.37,48.28,0.91,1.59,22
Andrew Robertson,0,0.03,42.5,0.38,0,0,1.12,0.53,0,1.26,0,0.59,0.32,0.24,53.94,84.24,10.35,38.57,0,0.21,0,0,0.94,0.06,0.09,0,47.83,48.07,0.29,0.65,34
Aymeric Laporte,0,0.08,66.67,0.83,0,0,0.92,0.25,0,2.5,0,0.33,0,0,78.92,93.14,17,54.17,0,0.25,0,0,0.83,0,0,0,55.81,60.27,0.58,0.42,12
Wout Faes,0.03,0,75,0.42,0.03,0,1.81,1.32,0,3.58,0,0.52,0.03,0.06,59.42,85.78,2.84,40.96,0,0.23,0,0,1.19,0.45,0.13,0.03,58.59,61.67,0.55,0.74,31
Danilo,0.23,0,77.78,1.15,0,0,1.38,0.69,0,1.38,0,1.46,0.08,0.15,17.46,64.32,3.62,42.42,0,0,0,0,1.15,0.15,0.08,0,22.22,44.32,0.23,0.31,13
Marc Guéhi,0.03,0.03,82.35,0.38,0,0,1.41,1.22,0,3.57,0.03,0.43,0.03,0,59.49,85.46,4.92,45.51,0,0.22,0,0,1.14,0.11,0.22,0,55.67,63.24,1.08,0.65,37
David De Gea,0,0,0,0,0,0,0,0.03,0,0.71,0.05,0.03,0,0,28.5,68.33,0.47,35.96,2.66,0.45,0.08,0.03,0.92,0.21,0,0,83.33,83.33,0.13,0,38
Jacob Ramsey,0.17,0.11,50,0.94,0,0,1.97,0.66,0.03,0.83,0,1.06,0.23,0.2,24.69,83.68,6.91,54.29,0,0.14,0,0,0.86,0.09,0.14,0,31.37,48.21,1.29,1,35
Jan Bednarek,0,0,50,0.35,0,0,1.3,2.22,0,3.96,0,0.17,0,0,41.48,84.7,2,48.25,0,0.13,0,0,1.7,0.04,0.22,0,71.93,67.52,0.35,0.7,23
Luis Díaz,0.24,0.12,56.14,1.59,0.12,0,1,0.35,0,0.06,0,0.41,0.12,0.12,26.24,82.74,9.65,94.44,0,0.12,0,0,0.65,0,0.12,0,25,42.41,1.41,1.18,17
Çağlar Söyüncü,0.14,0,100,0.71,0,0,2,1,0,4.14,0,0.43,0,0,43.71,78.76,1.71,36.73,0,0,0,0,1,0.86,0.29,0,60,62.32,0.57,1,7
