Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Mark McGuinness,0.0,0.05,85.71,0.63,0.0,0.0,1.16,2.21,0.0,5.11,0.05,0.53,0.16,0.0,36.26,76.2,2.0,47.83,0.0,0.16,0.0,0.0,1.37,0.11,0.21,0.0,76.86,69.35,0.42,0.74,19,1,2,Inglaterra Championship,2
Matt Ingram,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.05,0.05,0.0,0.0,36.0,69.82,0.68,35.81,3.32,0.36,0.14,0.05,0.68,0.5,0.05,0.0,100.0,88.89,0.14,0.0,22,2,1,Inglaterra Championship,2
Daniel Barlaser,0.05,0.03,54.29,0.46,0.0,0.0,1.36,0.69,0.0,0.72,0.0,0.62,0.28,0.21,43.95,77.07,11.03,44.9,0.0,0.15,0.0,0.0,0.97,0.13,0.1,0.0,53.45,55.17,0.64,0.51,39,2,3,Inglaterra Championship,2
Dominic Hyam,0.03,0.0,28.57,0.31,0.0,0.0,1.51,1.1,0.0,4.49,0.0,0.49,0.08,0.05,69.08,84.93,2.56,52.35,0.0,0.31,0.0,0.0,0.95,0.23,0.1,0.0,57.2,58.45,0.28,0.44,39,2,2,Inglaterra Championship,2
Scott Malone,0.0,0.0,61.54,0.58,0.0,0.0,1.52,0.55,0.0,0.39,0.0,0.42,0.03,0.12,17.18,67.9,4.97,47.95,0.0,0.06,0.0,0.0,0.55,0.06,0.03,0.0,56.67,62.75,0.39,0.36,33,3,2,Inglaterra Championship,2
Ciaran Clark,0.2,0.1,40.0,0.5,0.1,0.0,2.0,1.3,0.0,2.9,0.0,0.4,0.0,0.0,31.1,68.81,3.6,29.41,0.0,0.2,0.0,0.0,0.4,0.1,0.4,0.0,73.68,67.02,1.1,0.7,10,3,2,Inglaterra Championship,2
Ellis Simms,0.41,0.12,25.0,1.88,0.06,0.0,0.24,0.12,0.0,0.65,0.0,0.06,0.29,0.12,14.88,64.82,4.12,50.0,0.0,0.18,0.0,0.0,0.59,0.06,0.0,0.0,47.0,43.14,0.53,0.41,17,1,4,Inglaterra Championship,2
Ben Wilson,0.02,0.0,100.0,0.02,0.0,0.0,0.05,0.05,0.0,0.51,0.0,0.0,0.0,0.0,24.93,54.66,1.14,29.87,2.47,0.47,0.02,0.0,0.88,0.02,0.12,0.0,100.0,96.3,0.23,0.02,43,3,1,Inglaterra Championship,2
Robert Atkinson,0.15,0.0,76.92,0.58,0.15,0.0,1.62,1.38,0.0,3.42,0.0,0.54,0.04,0.04,41.12,75.3,4.31,37.61,0.0,0.27,0.0,0.0,1.12,0.08,0.12,0.0,68.78,66.35,0.96,0.73,26,2,2,Inglaterra Championship,2
Conor Townsend,0.07,0.07,52.38,0.85,0.0,1.09,1.57,1.15,0.02,1.98,0.0,0.28,0.09,0.07,41.98,75.92,8.83,35.14,0.0,0.33,0.0,0.0,0.85,0.28,0.07,0.0,54.44,60.35,1.09,0.57,46,2,2,Inglaterra Championship,2
Darragh Lenihan,0.0,0.1,66.67,0.76,0.0,0.0,0.93,1.0,0.02,3.49,0.0,0.24,0.12,0.07,70.02,84.43,4.93,44.41,0.0,0.15,0.0,0.0,1.0,0.24,0.12,0.02,64.07,64.17,0.49,0.49,41,2,2,Inglaterra Championship,2
John Egan,0.04,0.13,90.0,1.02,0.02,0.0,1.29,1.78,0.02,4.22,0.07,0.29,0.09,0.02,48.04,75.99,2.76,39.0,0.0,0.42,0.0,0.0,0.73,0.09,0.2,0.02,62.11,61.54,0.27,0.8,45,3,2,Inglaterra Championship,2
Wesley Hoedt,0.07,0.0,83.33,0.33,0.0,0.0,1.73,1.67,0.0,4.0,0.0,0.8,0.0,0.0,58.2,79.73,5.87,60.45,0.0,0.27,0.0,0.0,1.13,0.0,0.33,0.0,62.79,61.35,0.67,0.73,15,2,2,Inglaterra Championship,2
Ian Maatsen,0.1,0.03,47.17,0.92,0.0,1.28,1.95,1.36,0.0,1.28,0.0,0.72,0.28,0.15,57.31,83.49,12.59,41.15,0.0,0.28,0.0,0.0,0.64,0.03,0.21,0.03,32.31,46.89,0.74,0.87,39,1,2,Inglaterra Championship,2
Daniel Bachmann,0.0,0.0,100.0,0.0,0.0,0.0,0.04,0.02,0.0,0.89,0.02,0.0,0.02,0.0,24.44,63.0,0.64,30.24,3.04,0.36,0.04,0.0,1.04,0.09,0.11,0.02,82.35,85.19,0.13,0.02,45,2,1,Inglaterra Championship,2
Will Smallbone,0.07,0.16,30.0,1.0,0.0,0.0,1.74,0.91,0.0,0.53,0.0,1.23,0.16,0.12,30.95,77.16,8.98,48.78,0.0,0.12,0.0,0.0,0.81,0.07,0.02,0.0,27.54,44.7,0.81,0.79,43,1,3,Inglaterra Championship,2
Kian Harratt,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.75,57.14,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,75.0,66.67,0.25,0.0,4,1,4,Inglaterra Championship,2
Robert Apter,0.0,0.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,72.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1,1,3,Inglaterra Championship,2
Josh Cullen,0.02,0.0,90.0,0.67,0.0,0.0,1.47,1.28,0.02,1.0,0.02,1.02,0.07,0.09,71.21,88.08,15.02,51.29,0.0,0.42,0.0,0.0,0.72,0.02,0.19,0.0,50.78,53.63,1.42,1.02,43,2,3,Inglaterra Championship,2
Marc Roberts,0.0,0.04,100.0,0.64,0.0,0.0,1.08,0.92,0.04,5.44,0.0,0.52,0.04,0.04,27.08,61.3,2.6,35.62,0.0,0.28,0.0,0.0,0.68,0.04,0.2,0.0,73.03,65.12,0.08,0.8,25,3,2,Inglaterra Championship,2
Jack Clarke,0.2,0.11,55.63,1.4,0.02,0.0,1.6,0.62,0.0,0.76,0.0,0.62,0.16,0.24,25.87,75.17,7.42,49.62,0.0,0.16,0.0,0.0,0.91,0.24,0.2,0.0,31.82,48.63,1.87,1.38,45,1,3,Inglaterra Championship,2
Connor Roberts,0.09,0.07,37.5,0.67,0.0,0.0,1.09,0.58,0.02,1.42,0.02,0.4,0.0,0.14,62.95,87.66,14.63,51.37,0.0,0.37,0.0,0.0,0.63,0.02,0.16,0.02,47.22,55.74,1.14,0.63,43,2,2,Inglaterra Championship,2
Arijanet Murić,0.0,0.0,100.0,0.0,0.0,0.0,0.05,0.02,0.02,0.66,0.02,0.0,0.02,0.0,34.17,80.23,0.83,49.0,2.27,0.41,0.07,0.02,0.73,0.02,0.1,0.0,86.67,85.71,0.2,0.02,41,2,1,Inglaterra Championship,2
Morgan Fox,0.0,0.03,81.25,0.53,0.0,0.0,2.15,1.13,0.0,2.65,0.0,0.48,0.08,0.08,50.23,73.17,7.6,39.15,0.0,0.28,0.0,0.0,0.93,0.1,0.05,0.0,55.06,61.16,0.35,0.68,40,2,2,Inglaterra Championship,2
Jonathan Panzo,0.03,0.03,50.0,0.52,0.03,0.0,1.55,1.72,0.0,2.9,0.0,0.34,0.0,0.03,37.76,83.2,4.79,50.0,0.0,0.45,0.0,0.0,0.69,0.03,0.24,0.0,59.18,57.89,0.45,0.93,29,1,2,Inglaterra Championship,2
Lee Nicholls,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.79,0.04,0.0,0.0,0.0,26.54,55.72,1.14,32.22,3.0,0.29,0.11,0.07,1.14,0.04,0.11,0.0,100.0,100.0,0.18,0.0,28,3,1,Inglaterra Championship,2
Shaun Hutchinson,0.0,0.04,0.0,0.5,0.0,0.0,1.68,1.57,0.0,2.82,0.0,0.39,0.07,0.0,31.46,69.35,2.61,43.4,0.0,0.25,0.0,0.0,0.57,0.18,0.11,0.0,59.15,61.28,0.54,0.75,28,3,2,Inglaterra Championship,2
Sander Berge,0.16,0.08,61.73,1.46,0.0,0.0,1.24,0.41,0.0,0.57,0.0,0.3,0.22,0.14,35.92,80.51,11.35,60.0,0.0,0.24,0.0,0.0,0.62,0.11,0.11,0.0,47.73,50.33,0.46,0.78,37,2,3,Inglaterra Championship,2
Joshua Griffiths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,32.0,72.81,0.8,30.33,2.7,0.4,0.0,0.0,1.0,0.2,0.0,0.0,100.0,100.0,0.3,0.0,10,1,1,Inglaterra Championship,2
Angus Gunn,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.9,0.03,0.0,0.0,0.0,33.87,74.51,0.63,41.61,2.97,0.23,0.1,0.03,0.97,0.17,0.03,0.0,71.43,85.71,0.17,0.0,30,2,1,Inglaterra Championship,2
Max Lowe,0.04,0.0,52.63,0.38,0.0,0.0,3.19,1.38,0.04,1.42,0.0,0.65,0.15,0.19,27.0,69.8,7.81,30.0,0.0,0.31,0.0,0.0,0.62,0.08,0.19,0.0,59.02,59.38,0.15,1.08,26,2,3,Inglaterra Championship,2
Joël Piroe,0.44,0.44,52.7,3.33,0.0,0.58,0.63,0.28,0.0,0.84,0.0,0.63,0.12,0.05,23.74,82.76,7.37,65.79,0.0,0.14,0.0,0.0,1.21,0.16,0.16,0.02,19.49,30.18,0.3,0.77,43,1,4,Inglaterra Championship,2
