Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Darko Lazović,0.13,0.16,40,1.39,0,0,0.81,0.52,0,0.58,0,0.52,0.45,0.19,20.81,68.37,5.26,32.43,0,0.03,0,0,0.87,0.32,0,0,26.09,38.85,0.1,0.29,31
Nikola Milenković,0.07,0.04,0,0.7,0.07,0,1.48,0.81,0,2.67,0,0.33,0.07,0.04,47.52,85.89,3.44,52.82,0,0.26,0,0,0.96,0.04,0.15,0,70.87,63.21,0.78,1.44,27
Malick Thiaw,0,0.1,33.33,0.4,0,0,1.55,0.6,0,3.25,0,0.45,0,0,52.45,88.37,3.4,58.77,0,0.25,0,0,0.6,0,0.25,0,66.67,62.33,0.35,0.7,20
Rolando Mandragora,0.07,0,35.71,1.28,0,0,1.45,0.55,0,0.69,0,1,0.24,0.14,31.07,84.35,9.62,62.04,0,0.1,0,0,0.72,0.03,0.28,0,60.34,50.51,0.62,1.07,29
Frank Anguissa,0.08,0.08,50,1.39,0.03,0,1.47,1.36,0,0.67,0,1.33,0.08,0.14,61.78,88.85,16.17,67.42,0,0.31,0,0,0.61,0.11,0.08,0,63.51,47.26,1.33,1.22,36
Rémi Oudin,0.1,0.03,50,1.23,0,0,0.81,0.94,0,0.65,0,0.42,0.03,0,15.06,70.02,3.94,58.02,0,0.03,0,0,0.35,0.13,0.1,0,45.83,51.72,0.45,0.32,31
Alex Meret,0,0,0,0,0,0,0,0,0,0.38,0.03,0,0,0,23.82,86.05,0.09,52.44,2.03,0.47,0.06,0.03,0.56,0.15,0,0,100,100,0,0,34
Nicolás González,0.25,0.21,44.64,2.5,0.08,0,0.71,0.17,0.04,0.25,0,0.46,0.08,0.04,21.75,69.35,6.46,54.35,0,0.04,0,0,0.63,0.04,0.13,0,64,60.53,2.29,0.67,24
Aleksei Miranchuk,0.14,0.07,37.5,1.38,0,0,0.38,0.07,0,0.17,0,0.28,0.17,0.17,26.9,81.41,8.62,59.65,0,0.1,0,0,0.72,0.1,0,0,32.26,39.19,0.76,0.31,29
Luigi Sepe,0,0,0,0,0,0,0,0,0.06,0.41,0,0.06,0,0,32.94,63.93,0.76,35.48,3.53,0.18,0.41,0.18,1.29,0.29,0.18,0,100,75,0.12,0.06,17
Olivier Giroud,0.39,0.45,53.85,2.42,0.15,0,0.24,0.09,0,0.7,0,0.24,0.3,0.15,16.76,63.29,3.67,50,0,0.03,0,0,0.73,0.03,0.18,0.03,61.59,52.04,0.73,1.15,33
Edin Džeko,0.27,0.21,39.13,2.21,0.06,0,0.09,0.09,0,0.76,0,0.12,0.12,0.09,15.15,72,4.42,53.85,0,0.06,0,0,0.48,0.12,0.09,0,48.81,45.29,0.73,0.79,33
