#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
337,,Andrea Pinamonti,0.09,0,15.03,66.94,3.63,54.55
338,,Tommaso Baldanzi,0.04,0,23.85,85.48,7.38,46.43
339,,Nicolò Fagioli,0.04,0.12,21.96,85.46,4.96,58.49
340,,Abdelhamid Sabiri,0.11,0,22.33,74.13,6.67,60.98
341,,Ola Solbakken,0.14,0.14,10.36,72.41,3.29,30
342,,Arkadiusz Reca,0.06,0.03,28.61,71.59,5.81,40
343,,Marvin Zeegelaar,0,0,23.43,83.54,2.71,36.36
344,,Samuele Birindelli,0.03,0.03,19.13,75.72,4.13,35.19
345,,Junior Sambia,0.14,0.05,13.27,84.25,3.23,66.67
346,,Paul Pogba,0.17,0,10.83,73.85,2.5,50
347,,Kevin Bonifazi,0,0,55.23,89.42,3.38,60.98
348,,Pietro Ceccaroni,0,0,5.5,72.73,0,33.33
349,,Alessandro Tuia,0,0,29,69.95,2.43,39.29
350,,Alberto Basso,0,0,2,100,1,0
351,,Francesco Rossi,0,0,4,75,0,0
352,,Soualiho Meïté,0,0.06,32.58,84.95,4.97,55.95
353,,Joaquín Correa,0.08,0.04,10.58,80.36,3.88,90
354,,Valerio Verre,0.06,0,19.83,75.91,4.17,60.47
355,,Francesco Caputo,0.11,0.11,15.42,71.89,4.47,83.33
356,,Filip Đuričić,0.06,0,22.09,79.92,6.38,61.9
357,,Mërgim Vojvoda,0.21,0.17,32.59,78.73,8.79,54.12
358,,Kevin Agudelo,0.11,0.03,19.77,75.72,6.83,57.58
359,,Adolfo Gaich,0,0,9.82,57.49,2,0
360,,Filippo Bandinelli,0.06,0,26,78.35,5,41.49
361,,Adam Masina,0,0,27.79,79.18,2.43,48.19
362,,Gianluca Gaetano,0,0.13,7.5,80,2.5,100
363,,Emil Bohinen,0,0,19.79,84.84,3.33,50
364,,Riccardo Sottil,0.06,0.11,13,87.61,7.11,81.82
365,,Pedro Obiang,0,0.06,25.59,83.45,3.47,55.17
366,,Joakim Mæhle,0.06,0.09,34.74,81.63,10.88,40.58
367,,José Machín,0.12,0.08,26.04,84.18,5.44,51.16
368,,Ignacio Pussetto,0.2,0,10.2,66.67,3.2,0
369,,Simone Romagnoli,0,0,10.57,82.43,0.14,16.67
370,,Kaan Ayhan,0,0,32.9,86.93,2.4,54.39
371,,Mattia De Sciglio,0,0,26.82,81.58,5.06,52
372,,Nedim Bajrami,0.05,0.03,16.16,79.77,5.62,51.72
373,,Davide Faraoni,0.08,0.13,18.33,66.82,3.71,42.17
374,,Cristian Buonaiuto,0.1,0,13.03,73.28,3.66,36.67
375,,Caleb Okoli,0,0,25.71,75.74,2.12,47.37
376,,Kelvin Amian,0.1,0.03,28.2,75.3,6.77,34.91
377,,Emanuele Valeri,0.11,0.08,22.43,66.02,5.08,35.2
378,,Petar Stojanović,0,0.04,30.26,80.91,6.19,59.81
379,,Enzo Ebosse,0,0,24.1,84.44,3.45,55.88
380,,Divock Origi,0.04,0.04,6.7,70.17,2.41,50
381,,Emanuel Vignato,0.08,0.08,11.15,80.69,3.46,44.44
382,,Thomas Henry,0.06,0,13.5,53.24,3.25,44.44
