#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
333,,Tonny Vilhena,0.15,0,22.73,43.03,1.03,1.03
334,,Mattia Caldara,0.3,0,58.33,55.56,0.5,0.8
335,,Leonardo Spinazzola,0.12,0,52.94,45.59,0.5,0.5
336,,Mario Pašalić,0.09,0,50.68,41.71,0.5,0.75
337,,Andrea Pinamonti,0.09,0.03,31.3,33.21,0.97,0.66
338,,Tommaso Baldanzi,0.08,0,25,49.72,1.42,0.46
339,,Nicolò Fagioli,0.12,0,12.5,44.53,0.88,0.77
340,,Abdelhamid Sabiri,0.28,0,50.85,48.1,2.17,1.56
341,,Ola Solbakken,0.14,0,26.67,30.51,0.5,0.43
342,,Arkadiusz Reca,0.19,0,45.45,46.3,0.52,1.06
343,,Marvin Zeegelaar,0.14,0.14,80,54.35,0.14,1.86
344,,Samuele Birindelli,0.26,0,40,53.66,0.45,0.48
345,,Junior Sambia,0.14,0,60,51.43,0.77,0.5
346,,Paul Pogba,0,0,70,64.52,1.17,0.33
347,,Kevin Bonifazi,0.15,0,32,42.86,0.08,0.46
348,,Pietro Ceccaroni,0,0,0,0,0,0
349,,Alessandro Tuia,0.14,0,41.67,44.44,0.29,1.29
350,,Alberto Basso,0,0,100,50,0,0
351,,Francesco Rossi,0,0,0,0,0,0
352,,Soualiho Meïté,0.16,0,62.22,56.39,1.52,0.87
353,,Joaquín Correa,0.04,0,25,43.24,0.69,0.46
354,,Valerio Verre,0.28,0,50,43.75,0.72,0.78
355,,Francesco Caputo,0.03,0,31.51,39.2,1.28,0.5
356,,Filip Đuričić,0.28,0,34.09,45.12,1.5,1.19
357,,Mërgim Vojvoda,0.1,0,35.71,40.48,0.24,0.66
358,,Kevin Agudelo,0.14,0,38.64,46.38,1,0.97
359,,Adolfo Gaich,0.12,0,34.18,39.31,0.82,1.06
360,,Filippo Bandinelli,0.29,0,34.48,43.98,1.06,1.51
361,,Adam Masina,0.14,0,70.27,55.56,0.07,0.79
362,,Gianluca Gaetano,0,0,0,61.54,0.13,0.25
363,,Emil Bohinen,0,0,44.44,50.88,0.54,0.63
364,,Riccardo Sottil,0.06,0,37.5,51.09,1.5,0.22
365,,Pedro Obiang,0.12,0,45.95,51.92,0.47,0.94
366,,Joakim Mæhle,0.15,0.03,23.53,41.95,0.56,0.47
367,,José Machín,0.16,0,46.15,44.17,0.48,0.76
368,,Ignacio Pussetto,0.2,0,44.44,42.86,0.2,1.4
369,,Simone Romagnoli,0,0,55.56,59.26,0,0.43
370,,Kaan Ayhan,0.1,0,30,62.5,0.8,0.4
371,,Mattia De Sciglio,0,0,47.62,55.22,0.65,0.24
372,,Nedim Bajrami,0.03,0,26.67,43.87,0.41,0.32
373,,Davide Faraoni,0.29,0.04,40,44.9,0.46,0.92
374,,Cristian Buonaiuto,0.1,0,21.43,41.57,0.79,0.59
375,,Caleb Okoli,0.18,0,63.24,54.55,0.47,0.88
376,,Kelvin Amian,0.17,0.03,49.28,50.93,0.17,1.23
377,,Emanuele Valeri,0.08,0,33.33,43.06,1,0.73
378,,Petar Stojanović,0.11,0,36.36,52.11,0.56,0.44
379,,Enzo Ebosse,0.15,0,51.72,55.07,0.2,0.45
380,,Divock Origi,0.04,0,30.61,39.86,0.63,0.48
381,,Emanuel Vignato,0.08,0,57.14,50,0.08,0.31
382,,Thomas Henry,0.25,0,53.49,40.46,1,1.69
383,,Yayah Kallon,0.05,0,29.03,42.98,0.95,0.59
384,,Bartosz Bereszyński,0.11,0,62.5,55.28,0.67,0.83
385,,Mile Svilar,0.33,0,0,0,0,0
386,,João Moutinho,0,0,0,70,0,0.25
387,,Federico Ceccherini,0.41,0.05,62.5,53.15,0.86,1.41
388,,Ruan,0.39,0.13,58.62,57.92,0.61,1.17
389,,Martin Hongla,0.44,0,38.46,47.17,0.44,1.22
390,,Jeremy Toljan,0.1,0,32.26,52.34,0.45,0.32
391,,Fabio Quagliarella,0.09,0,24.32,43.04,0.83,0.17
392,,Jesé Rodríguez,0,0,14.29,37.5,0.45,0.27
393,,Mehdi Léris,0.41,0,58.18,50.76,1.47,1.63
394,,Abdou Harroui,0.09,0,64.29,51.28,0.13,0.57
395,,Raoul Bellanova,0,0,50,63.46,0.5,0.22
396,,Alfred Duncan,0.12,0,56.25,44.35,0.48,1.04
397,,Tomás Rincón,0.21,0.03,67.31,49.16,0.82,1.71
398,,Josh Doig,0.05,0,41.03,43.62,0.32,0.64
399,,Nicolas Haas,0.08,0,24,42.06,0.46,0.83
400,,Przemysław Wiśniewski,0.2,0,67.74,55.46,0.6,0.87
401,,Toma Bašić,0.08,0,70,54.79,0.68,0.48
402,,Giulio Donati,0.25,0.25,57.14,50,0.75,0.88
403,,Josip Brekalo,0.17,0,0,39.39,0.83,0.5
404,,Tommaso Milanese,0,0,0,33.33,0.5,0.5
405,,Lorenzo Colombo,0.12,0,25.63,28.05,0.48,1.09
406,,Tolgay Arslan,0.08,0,66.67,54.04,0.97,0.42
407,,Charles Pickel,0.24,0.03,38.21,43.06,0.55,1.03
408,,Joshua Zirkzee,0.11,0,32.43,33.33,0.47,0.42
409,,Matteo Gabbia,0.17,0,75,70.21,0.08,0.67
410,,Demba Seck,0,0,41.18,53.57,0.95,0.42
411,,Ronaldo Vieira,0.17,0,40,46.91,0.5,1.22
412,,Oliver Abildgaard,0.15,0,70.83,61.82,0.54,1
413,,Giulio Maggiore,0.13,0,39.13,46.32,0.88,1.25
