#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
321,,Gauthier Hein,0.09,0,18.91,84.44,6.03,66.67
322,,Jackson Porozo,0,0,28.18,81.61,1.5,35.21
323,,Edan Diop,0.29,0,15.29,76.64,5.29,40
324,,Jere Uronen,0.17,0.17,20.67,81.45,4.33,20
325,,Leny Yoro,0,0,43.46,90.97,1,53.23
326,,Mathieu Coutadeur,0.04,0,43.89,84.64,7.7,61.07
327,,Stredair Appuah,0,0,5,76,2,50
328,,Youssouf Koné,0,0,25.85,78.87,2.46,50
329,,Rudy Kohon,0,0,27,85.19,0,0
330,,Brandon Baiye,0,0,4.57,84.38,0.86,66.67
331,,Leo Leroy,0.04,0,18.7,76.24,3.04,55.1
332,,Mohamed Bayo,0.04,0.04,4.7,63.78,1.56,100
333,,Julian Jeanvier,0,0,35.5,83.1,1.32,49.11
334,,Yvon Mvogo,0,0,25.38,71.48,0.38,42.31
335,,Adil Rami,0,0.05,35.9,85.1,2.9,58.87
336,,Eduard Sobol,0.13,0.07,20.53,76.62,5.27,41.38
337,,Jodel Dossou,0,0,5,75.56,1.89,50
338,,Nicolas Cozza,0.06,0.06,28.94,73.37,3.65,36.92
339,,Ismaël Boura,0.11,0,5.67,80.39,1.11,40
340,,Issa Kaboré,0.05,0,19.23,81.56,6.55,41.67
341,,Falaye Sacko,0.03,0.09,29.17,81.39,4.74,38.78
342,,Achraf Dari,0,0,38.17,79.62,1.61,46.94
343,,Youssouf M'Changama,0.08,0,17.35,82.48,3.12,48
344,,Bevic Moussiti Oko,0.06,0,9.24,57.32,2.53,33.33
345,,Jérémy Le Douaron,0.09,0.09,11.03,72.8,3.13,50
346,,Stephy Mavididi,0.04,0.08,11.58,75.42,2.96,53.85
347,,Gerson,0,0,17.6,82.39,6.3,50
348,,Bingourou Kamara,0,0,22.2,62.16,0.4,34.43
349,,Vitinha,0,0,7.57,72.64,2.43,66.67
350,,Gabriel Gudmundsson,0.06,0,19.06,83.67,4.11,39.29
351,,Vincent Marchetti,0.1,0.06,33.55,80,7.48,58.33
352,,Alexis Beka Beka,0,0,19.79,81.23,3.29,63.33
353,,Brecht Dejaegere,0.07,0.03,21.07,81.01,6.13,67.65
354,,Samuel Moutoussamy,0.03,0.06,34.6,86.54,7.06,58.76
355,,Nuno Tavares,0.13,0,33.06,79.12,11.26,49.35
356,,Abdu Conté,0.21,0.11,30.95,79.76,5.74,49.06
