#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
318,,James McCarthy,0,0,0,0,0,0
319,,Scott Romeni Bitsindou,0,0,0,0,0,0
320,,Jack Mackenzie,0,0,55.56,0.39,0,0
321,,Ross McCrorie,0.06,0.03,50,1.45,0,0
322,,Connor Smith,0,0,0,0.14,0,0
323,,Ryan Alebiosu,0,0,41.03,0.22,0,0
324,,Sadat Anaku,0,0.07,42.86,0.93,0,0
325,,Kieran Freeman,0.04,0,57.14,0.33,0,0
326,,Harrison Paton,0,0,50,0.43,0,0
327,,Jayden Richardson,0,0.05,43.75,0.37,0,0
328,,Alex Samuel,0.1,0.1,22.22,0.9,0.1,0
329,,Michael O'Halloran,0,0,0,0.25,0,0
330,,Momodou Bojang,0,0.4,0,0.6,0,0
331,,Archie Meekison,0,0,16.67,0.14,0,0
332,,David Watson,0,0.2,46.15,0.6,0,0
333,,Scott Pitman,0,0.12,55.56,0.55,0,0
334,,Thierry Small,0,0,44.44,0.64,0,0
335,,Phillip Čančar,0,0,0,0.33,0,0
336,,Lennon Miller,0,0,0,0.25,0,0
337,,Jack Newman,0,0,0,0,0,0
338,,Jair Tavares,0,0,33.33,0.5,0,0
339,,Michael Devlin,0,0,0,0,0,0
340,,Kian Speirs,0,0,0,1,0,0
341,,Dilan Markanday,0,0,16.67,0,0,0
342,,Riku Danzaki,0,0,100,0.33,0,0
343,,Zachary Hemming,0,0,0,0,0,0
344,,Tony Gallacher,0,0,100,0,0,0
345,,Fraser Taylor,0,0,66.67,0,0,0
346,,Oliver Crankshaw,0,0.25,37.5,0.5,0,0
347,,Bobby Wales,0,0.1,0,0.2,0,0
348,,Callum Roberts,0,0,0,0.67,0,0
349,,Alfie Bavidge,0,0,0,0.4,0,0
350,,Esmael Goncalves,0,0.38,37.5,0.88,0,0
351,,Kieran Offord,0,0.11,50,0.11,0,0
352,,Kyle McClelland,0,0,0,1,0,0
353,,Jack Hamilton,0,0,0,0,0,0
354,,Patrik Myslovič,0,0,50,0.5,0,0
355,,Scott Bain,0,0,0,0,0,0
356,,Charlie McCann,0,1,0,0,0,0
357,,Peter Urminsky,0,0,0,0,0,0
358,,Joe Lewis,0,0,0,0,0,0
359,,Zak Lovelace,0,0,0,0,0,0
360,,Ross McCausland,0,0,0,0,0,0
361,,Bailey Rice,0,0,0,0,0,0
362,,Arron Lyall,0,0,0,0,0,0
363,,Robbie Ure,0,0,0,0,0,0
