#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
352,,José Ángel Carrillo,0.05,0,52.35,50.23,1,0.76
353,,Antonio Puertas,0.11,0,40.34,39.82,0.94,1.23
354,,Jorge de Frutos,0.15,0.03,44.23,44.08,1.21,0.87
355,,Antonio Pacheco,0.06,0.03,40,54.55,0.45,0.55
356,,Jovanny Bolívar,0,0,29.41,39.29,0.43,0.29
357,,Benito Ramírez,0,0,46.15,48,0.21,0.36
358,,Carlos Isaac,0.13,0,55,50,0.88,1.19
359,,Pau Casadesús,0.25,0,50,46.43,0,1.25
360,,Enzo Lombardo,0.2,0,66.67,60.71,0.9,0.4
361,,Ángel Rodado,0,0,0,50,1,1
362,,Paul Anton,0,0,100,66.67,1,1
363,,Moussa Diarra,1,0,50,50,1,2
364,,Andrés García,0,0,0,50,0,0
365,,Luis Roldán,0,0,0,60,0,0
366,,Chema,0.6,0,50,51.85,0.6,0.8
367,,Diego Alende,0.14,0,43.9,48.5,0.82,0.68
368,,Jaume Grau,0.29,0.03,60.94,51.52,0.69,0.89
369,,Sergio Molina,0.14,0.03,50,47.85,0.97,1.1
370,,Jony,0,0.06,30,37.88,0.24,0.41
371,,Víctor Mollejo,0.14,0,43.59,42.08,1.18,1.32
372,,Haissem Hassan,0.07,0,0,55,1.22,0.33
373,,Pablo Chavarría,0.04,0,42.71,37.21,0.54,1.63
374,,Carlos Martinez Rodriguez,0.03,0.03,36.21,42.55,0.6,0.29
375,,Daniel Alonso Aceves Patiño,0.1,0.1,36.36,52.11,0.4,1
376,,Jonas Ramalho,0.04,0,51.9,53.55,0.52,0.48
377,,Paris Barandiaran,0.28,0,47.06,51.06,0.89,0.72
378,,Nico Serrano,0.06,0,23.81,43.22,0.94,0.81
379,,José Manuel Arnáiz,0.16,0,34.78,39.78,1.92,0.89
380,,Unai Medina,0.13,0,60.71,62.96,1.8,0.6
381,,Luca Sangalli,0.23,0,39.13,49.12,0.73,0.73
382,,Nolito,0.19,0,24.14,40.94,0.56,0.67
383,,Aitor García,0.03,0,22.58,36.99,0.19,0.47
384,,Raúl Navarro,0.13,0,41.86,52.75,0.61,0.71
385,,Álex Martín,0.19,0.03,53.38,53.55,1.19,1.16
386,,José Naranjo,0.19,0.03,61.84,49.61,0.64,1
387,,Sergio Maestre,0.07,0,47.62,45.83,0.14,0.64
388,,Fran Sol,0.06,0,41.54,39.72,0.47,0.81
389,,Yanis Rahmani,0.06,0,56.67,49.52,1.84,0.78
390,,Álvaro Ratón,0,0,100,100,0,0
391,,David Timor,0.26,0,56.14,49,0.91,1.2
392,,Diego Collado,0.09,0.03,37.78,45.92,1.65,1
393,,Alberto Zapater,0.14,0.03,62.75,49.03,0.34,1.07
394,,Jose Salinas,0.17,0,45.07,50.56,1.32,1.29
395,,Stoichkov,0.28,0,42.45,40.96,1.05,0.7
396,,Fede Vico,0.13,0,52.17,51.27,0.95,0.63
