#,Team,Name,Appearances
591,,Marc Tenas,1
592,,Joselu,1
593,,Mario Sesé,1
594,,Carlos Gimenez,1
595,,Diego Murillo,1
596,,Pablo Bobadilla,1
597,,Marcos Trabanco,1
598,,Enol Rodríguez,1
599,,Andres Palacios,1
600,,Raúl Torrente,2
601,,Ale García,2
602,,Eusebio Monzó,2
603,,Abdallahi Mahmoud,3
604,,Hugo Anglada,3
605,,Jesús Fernández,8
606,,Alfon González,8
607,,Jofre,27
608,,Angel Troncho,14
609,,Uroš Milovanović,12
610,,Cesar Rodriguez,4
611,,David Rodríguez Ramos,4
612,,Radosav Petrović,9
613,,Franchu,27
614,,Famara Diédhiou,10
615,,Marco Camus,20
616,,Samuel Mráz,11
617,,Pau Sans,7
618,,Florin Andone,19
619,,Djakaria Barro,2
620,,Liberman Torres,4
621,,Manu Rico,4
622,,Dani González,5
623,,Marc Martínez,7
624,,Leandro Antonetti,5
625,,Makhtar Gueye,22
626,,Thierno Barry,1
627,,Jairo Quinteros,1
628,,David Arguelles,1
629,,Edgar Alcaniz,1
630,,Sergio Navarro,3
631,,Axel Bamba,7
632,,Vitolo,8
633,,Aldair,8
634,,Alejandro Gálvez,8
635,,Juan Villar,7
636,,Joaquin Panichelli,2
637,,Juan Durán,2
638,,Alejandro Domingo,3
639,,Gui,13
640,,Iker Goujón,1
641,,Salifo Caropitche,1
642,,Xairo Soto,1
643,,Lalo Aguilar,2
644,,Adrian Sanmartin,2
645,,Tomás Alarcón,12
646,,Rafa Rodriguez,1
647,,Leonel Miguel,2
648,,Raúl Arias,2
649,,Daniel Lasure,3
650,,Emmanuel Attipoe,1
651,,Alejandro Ramos,1
652,,Víctor Olmo,3
653,,Farru,4
654,,Dani Clavijo,1
655,,Sergi García,1
656,,Guillermo De Amores,1
657,,Andres Caro,2
658,,Iker Alday,1
659,,Jorge Delgado,1
660,,Hugo Redón,1
661,,Ignacio Pais,1
662,,Karim Chaban,2
663,,Javi López-Pinto,2
