#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
425,,Damiano Cancellieri,0,0,0,0,0.5,0.17
426,,Alessandro Circati,0,0.14,0,0,0.79,0.07
427,,Marco Nasti,0,0.04,0,0,0.76,0.08
428,,Botond Balogh,0,0.13,0,0,0.8,0.07
429,,Andrea Cagnano,0,0.08,0,0,0.77,0.08
430,,Aljaž Struna,0,0.14,0,0,0.86,0.36
431,,Roberto Inglese,0,0,0,0,0.63,0.13
432,,Maxime Leverbe,0,0.17,0,0,1.11,0.22
433,,Danilo Quaranta,0,0.17,0,0,0.83,0.06
434,,Marco Armellino,0,0.11,0,0,1,0.11
435,,Raúl Moro,0,0,0,0,0.25,0.08
436,,Roberto Floriano,0,0,0,0,0.5,0.08
437,,Flavio Bianchi,0,0,0,0,0.59,0.06
438,,Nunzio Lella,0,0.06,0,0,0.28,0
439,,Aaron Connolly,0,0,0,0,0.8,0
440,,Diego Falcinelli,0,0.06,0,0,0.79,0.12
441,,Simone Ghidotti,2.72,0.17,0.28,0,1.06,0.33
442,,Leonardo Capezzi,0,0.08,0,0,0.38,0.15
443,,Andrea Rispoli,0,0.17,0,0,1.13,0.17
444,,Karlo Butić,0,0,0,0,0.85,0
445,,Antonino La Gumina,0,0.04,0,0,0.7,0.11
446,,Emil Kornvig,0,0,0,0,0.64,0.07
447,,Alin Toșca,0,0.19,0,0,1.25,0.31
448,,Simone Mazzocchi,0,0.03,0,0,0.55,0.12
449,,Fabio Ponsi,0,0.12,0,0,1,0.2
450,,Stefano Sturaro,0,0.06,0,0,0.11,0
451,,Davide Agazzi,0,0.14,0,0,0.86,0.11
452,,Vincenzo Millico,0,0,0,0,0.47,0
453,,Lisandru Tramoni,0,0,0,0,0,0
454,,Paulo Azzi,0,0.19,0,0,0.71,0
455,,Giuseppe Carriero,0,0,0,0,0.52,0.06
456,,Gabriele Capanni,0,0,0,0,0.24,0.12
457,,Stipe Vulikić,0,0.17,0,0,0.33,0
458,,Mladen Devetak,0,0.17,0,0,0.17,0
459,,Francesco Donati,0,0.1,0,0,0.75,0
460,,Álex Blanco,0,0,0,0,0.48,0.1
