#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
288,,Abdoulaye Touré,0,0,5.33,87.5,3.33,100
289,,Federico Pace,0,0,12,70.83,2.75,50
290,,Franco Zuculini,0,0,3.25,61.54,0.5,100
291,,Simone Romagnoli,0,0,50.83,79.34,2.67,35.56
292,,Daniele Donnarumma,0.05,0,32,66.09,5.15,36.31
293,,Mirko Antonucci,0.03,0.03,18.65,69.71,7.32,25
294,,Aurélien Scheidler,0.05,0.11,10.21,60.31,2.47,80
295,,Karlo Lulić,0.1,0.15,22.1,79.86,6,45.45
296,,Žan Žužek,0,0,25.27,89.71,1.53,54.9
297,,Vassilis Zagaritis,0.15,0,16.62,76.85,5.38,23.81
298,,Michele Camporese,0,0,28.81,83.31,1.27,54.17
299,,Alessandro Tripaldelli,0.09,0.09,21.23,73.45,3.32,23.33
300,,Marco Brescianini,0.08,0.03,24.27,79.06,4.78,39.6
301,,Eddie Salcedo,0.04,0.04,9.57,81.82,4.22,100
302,,Lorenzo Andrenacci,0,0,22.68,57.11,0.86,33.33
303,,Nicolas Galazzi,0.19,0.15,17.52,75.69,4.74,52.94
304,,Daam Foulon,0.1,0.03,22.1,72.41,4.55,37.38
305,,Giuseppe Rossi,0,0,8.8,75,2.4,40
306,,Rigoberto Rivas,0.08,0.05,16.61,72.27,5.63,57.58
307,,Jakub Łabojko,0.07,0.07,24.57,79.92,4.9,55.68
308,,Luca Vido,0.08,0,6.52,70.55,1.76,66.67
309,,Luca Moro,0.03,0,9.38,67.71,2.79,75
310,,Marco Capuano,0,0,33.55,78.05,1.45,32.08
311,,Adrian Rus,0,0,36.63,82.76,1.94,48.39
312,,Valentin Mihăilă,0,0.2,11.87,74.72,4.4,66.67
313,,Matteo Stoppa,0.33,0,3.33,80,1.67,0
314,,Gabriele Piccinini,0.33,0,5,73.33,1.33,25
315,,Marco Modolo,0,0,40,89.75,2.5,68.25
316,,Francesco Forte,0.03,0.06,10.44,66.2,3.21,50
317,,Francesco Gelli,0,0.1,43.4,86.41,9,50
318,,Luca Valzania,0.14,0.1,24.81,81.57,6.86,64.1
319,,Idriz Voca,0.03,0.03,32.03,83.44,5.21,49.02
320,,Luigi Canotto,0.19,0.08,10.43,79.27,3.62,60.71
321,,Zito Luvumbo,0.11,0.06,8.75,73.97,2.81,54.55
322,,Ignacio Lores Varela,0.07,0.04,12.39,59.37,3.5,48.28
323,,Gianluca Busio,0,0,29.61,87.45,5.11,64
324,,Matteo Tramoni,0.06,0.03,13.25,76.42,4.78,57.14
325,,Giacomo Beretta,0.08,0.17,8.08,68.04,2.33,40
326,,Moutir Chajia,0,0.17,8.25,89.9,3.25,80
327,,Mamadou Coulibaly,0,0.04,22.54,77.5,5.11,56.41
328,,Hamza El Kaouakibi,0,0,32.38,78.86,6,42.86
329,,Christian D'Urso,0.17,0.14,18.47,83.31,5.83,63.27
330,,Edoardo Soleri,0.1,0.07,8.59,63.45,2.48,40
331,,Tommaso Milanese,0,0,21.5,82.33,6.2,50
332,,Gianmarco Cangiano,0,0,5.33,87.5,3,0
333,,Mattia Proietti,0,0,22.38,84.36,6.75,78.57
334,,Luca Belardinelli,0.04,0.07,24.52,74.77,5.04,56.76
335,,Nermin Karić,0.03,0.03,32.03,82.21,8.58,56
336,,Niccolò Corrado,0.14,0.03,25.09,78.25,5.09,51.76
337,,Filippo Berra,0.05,0,15.47,61.56,2.16,30.59
338,,Marius Marin,0.03,0,28.09,75.08,6.48,49.62
339,,Enrico Celeghin,0,0,11.29,68.35,1.71,58.33
340,,Samuel Di Carmine,0.03,0.03,11.45,64.46,3.72,69.23
341,,Simon Sohm,0.15,0.11,21.7,83.62,7.7,80
342,,Alessandro Salvi,0.19,0.05,32.1,70.62,5.86,37.97
343,,Joaquín Larrivey,0.03,0,14.18,63.03,2.82,32
344,,Nik Prelec,0.08,0.17,11.92,65.03,3.17,75
345,,Salvatore Molina,0.15,0.15,15,83.08,2.92,58.82
346,,Giuseppe Mastinu,0,0,16.92,69.77,3.77,38.67
347,,Stanko Jurić,0.1,0,33.6,81.94,5.73,60
348,,Marco Curto,0,0,25.21,73.86,3.65,40.41
349,,Andrea Papetti,0,0,45.45,84.16,2.15,36.84
350,,Mario Gargiulo,0.08,0,23.17,75.18,6.13,38.71
351,,Tommaso Silvestri,0,0,27.52,79.57,1.28,34.68
352,,Alessandro Gabrielloni,0.07,0.03,6.52,65.61,2.28,57.14
353,,Jacopo Segre,0,0,18.29,81.03,5.56,50
354,,Raúl Asencio,0.12,0.06,11.47,56.41,3.53,66.67
355,,Edoardo Masciangelo,0.05,0.11,20.89,76.32,4.79,44.83
356,,Luca Lipani,0,0.5,3,100,1,100
357,,Anthony Fontana,0,0,0,0,0,0
358,,Fabio Parravicini,0,0,5,60,0,100
359,,Dario Sits,0,0,3.5,28.57,0,0
360,,Elvis Kabashi,0,0,6.5,61.54,0.5,50
361,,Noam Baumann,0,0,31.5,82.54,0,45
362,,Luca Maniero,0,0,25.5,62.75,3,50
363,,Christian Capone,0,0,11,84.09,4,80
364,,Mauro Vigorito,0,0,19.25,68.83,1,52.94
365,,Kevin Vinetot,0,0,26.17,90.45,1.33,60
366,,Nicholas Bonfanti,0.03,0.03,6.7,62.19,2.07,42.86
367,,Edoardo Duca,0.1,0,15.48,81.23,5.29,30
368,,Georgi Tunjov,0.13,0.04,11.43,74.14,3.57,65.22
369,,Luca Magnino,0.06,0.06,29.94,79.5,8.44,50
370,,Gianluigi Buffon,0,0,25.29,63.26,0.59,34.03
371,,Marco Olivieri,0.04,0,9.76,69.26,4.52,50
372,,Luca Lezzerini,0,0,21.81,67.62,0.5,42.35
373,,Federico Proia,0.05,0,16.73,79.35,3.41,55.56
374,,Dennis Johnsen,0.18,0.15,14.67,66.94,4.76,48.89
375,,Claud Adjapong,0,0,15.79,71.24,2.58,39.29
376,,Massimiliano Mangraviti,0.03,0,41.83,82.36,4.34,47.17
377,,Emanuele Cicerelli,0.1,0.03,9.17,77.44,3.41,58.33
378,,Gabriele Gori,0.06,0.03,8.18,62.23,2.29,14.29
379,,John Björkengren,0.18,0.12,26.94,81.22,5.24,44.83
380,,Federico Giraudo,0.07,0.04,28,78.57,6,47.52
381,,Miloš Bočić,0.17,0.08,5.58,74.63,2.17,66.67
382,,Giuseppe Di Serio,0.04,0.07,8.15,67.27,2.63,41.67
383,,Hjörtur Hermannsson,0,0,39.3,77.38,3.41,41.78
384,,David Strelec,0.07,0.07,11.07,66.87,2.93,66.67
385,,Simone Panada,0.1,0.1,15.2,78.29,3.7,60.98
386,,Giovanni Fabbian,0.06,0.03,16.39,66.61,3.72,40.38
387,,Giuseppe Aurelio,0,0,30.56,69.09,5.11,27.03
388,,Andrea Beghetto,0,0,13.67,55.28,3,27.66
389,,Christian Kouan,0.06,0.03,15.1,66.45,3.87,34.18
390,,Filippo De Col,0.03,0.06,21.75,69.86,4,34.76
391,,Alessandro Lombardi,0,0,2.25,88.89,0.5,0
392,,Tom Van De Looi,0,0,34.47,76.79,5.53,38.78
393,,Andrea D'Errico,0.1,0.1,7.8,79.49,2.7,50
394,,Enrico Guarna,0,0,30.75,55.28,1.92,39.47
395,,Vittorio Parigini,0,0.04,13.3,71.03,3.26,32.61
396,,Ange-Yoan Bonny,0.04,0.04,8.38,84.08,3.58,71.43
397,,Alessandro De Vitis,0.07,0.07,12.4,67.74,1.47,40
398,,Silvan Hefti,0,0,29.77,78.81,6.46,36.9
399,,Mirko Eramo,0,0,17.42,79.03,3.08,61.4
400,,Domen Črnigoj,0,0.06,27.06,74.95,8.28,46.15
