#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
336,,Niccolò Corrado,0.03,0.03,61.82,0.43,0,0
337,,Filippo Berra,0,0.05,36.36,0.42,0,0
338,,Marius Marin,0.03,0.03,34.21,0.55,0,0
339,,Enrico Celeghin,0,0,0,0.14,0,0
340,,Samuel Di Carmine,0.14,0.31,16.67,1.66,0.03,0
341,,Simon Sohm,0,0.07,42.11,0.48,0,0
342,,Alessandro Salvi,0,0,66.67,0.48,0,0
343,,Joaquín Larrivey,0.12,0.06,40,0.45,0.06,0
344,,Nik Prelec,0,0.17,37.5,0.67,0,0
345,,Salvatore Molina,0,0,60,0,0,0
346,,Giuseppe Mastinu,0,0.04,54.55,1.08,0,0
347,,Stanko Jurić,0,0,38.89,0.47,0,0
348,,Marco Curto,0.06,0,40,0.32,0,0
349,,Andrea Papetti,0,0.1,57.14,0.15,0,0
350,,Mario Gargiulo,0.04,0.08,41.67,0.96,0,0
351,,Tommaso Silvestri,0,0,66.67,0.28,0,0
352,,Alessandro Gabrielloni,0.14,0.1,27.27,1.17,0.07,0
353,,Jacopo Segre,0.12,0.06,50,0.91,0.06,0
354,,Raúl Asencio,0.12,0.29,50,1.47,0,0
355,,Edoardo Masciangelo,0,0,54.55,0.53,0,0
356,,Luca Lipani,0,0,0,0,0,0
357,,Anthony Fontana,0,0,0,0,0,0
358,,Fabio Parravicini,0,0,0,1,0,0
359,,Dario Sits,0,0,100,0.5,0,0
360,,Elvis Kabashi,0,0,100,0,0,0
361,,Noam Baumann,0,0,0,0,0,0
362,,Luca Maniero,0,0,0,0,0,0
363,,Christian Capone,0,0,0,0.75,0,0
364,,Mauro Vigorito,0,0,100,0,0,0
365,,Kevin Vinetot,0,0,0,0.17,0,0
366,,Nicholas Bonfanti,0.23,0.17,50,1.6,0.07,0
367,,Edoardo Duca,0,0,44.44,0.67,0,0
368,,Georgi Tunjov,0,0,52,0.74,0,0
369,,Luca Magnino,0.11,0.11,37.5,0.72,0,0
370,,Gianluigi Buffon,0,0,100,0,0,0
371,,Marco Olivieri,0.08,0.2,54.29,1.52,0,0
372,,Luca Lezzerini,0,0,0,0,0,0
373,,Federico Proia,0,0.05,54.55,1.23,0,0
374,,Dennis Johnsen,0.09,0.21,34.07,0.82,0,0
375,,Claud Adjapong,0.04,0,37.04,0.67,0,0
376,,Massimiliano Mangraviti,0.07,0.03,100,0.28,0.03,0
377,,Emanuele Cicerelli,0,0.03,43.48,0.45,0,0
378,,Gabriele Gori,0.09,0.06,33.33,0.97,0.03,0
379,,John Björkengren,0,0,46.67,0.35,0,0
380,,Federico Giraudo,0,0,61.11,0.21,0,0
381,,Miloš Bočić,0,0,37.5,0.25,0,0
382,,Giuseppe Di Serio,0.19,0.19,33.33,1.11,0.04,0
383,,Hjörtur Hermannsson,0,0,100,0.11,0,0
384,,David Strelec,0.2,0.2,40.91,1.2,0,0
385,,Simone Panada,0,0,25,0.4,0,0
386,,Giovanni Fabbian,0.22,0.17,50,1.22,0.11,0
387,,Giuseppe Aurelio,0.11,0.11,78.95,0.22,0.11,0
388,,Andrea Beghetto,0,0,0,0.22,0,0
389,,Christian Kouan,0.06,0,45.71,1.26,0.03,0
390,,Filippo De Col,0.03,0,35.71,0.28,0.03,0
391,,Alessandro Lombardi,0.25,0,0,0.75,0.25,0
392,,Tom Van De Looi,0.03,0,75,0.66,0,0
393,,Andrea D'Errico,0,0,66.67,0.7,0,0
394,,Enrico Guarna,0,0,0,0,0,0
395,,Vittorio Parigini,0,0.15,52.94,0.85,0,0
396,,Ange-Yoan Bonny,0.04,0,56.76,0.42,0,0
397,,Alessandro De Vitis,0,0,100,0.4,0,0
398,,Silvan Hefti,0.04,0,22.22,0.19,0,0
399,,Mirko Eramo,0,0,50,0.35,0,0
400,,Domen Črnigoj,0.17,0,40.63,1.44,0,0
401,,Andrea Schiavone,0,0,100,0.2,0,0
402,,Riccardo Improta,0.06,0.11,41.38,1.03,0,0
403,,Daniele Liotti,0.03,0,50,0.52,0,0
404,,Davide Marsura,0.17,0,43.75,0.35,0,0
405,,Riccardo Ciervo,0,0.05,46.15,0.58,0,0
406,,Frédéric Veseli,0,0.05,50,0.33,0,0
407,,Soufiane Bidaoui,0,0,57.69,1.11,0,0
408,,Ahmad Benali,0,0.04,38.1,0.52,0,0
409,,George Pușcaș,0.16,0.2,36,1.24,0.04,0
410,,Antonio Mazzotta,0,0,56.52,0.1,0,0
411,,Marco Pompetti,0,0.06,25,0.59,0,0
412,,Dario Šarić,0,0.03,52.94,1,0,0
413,,Maximilian Ullmann,0,0,20,0.2,0,0
414,,Gian Filippo Felicioli,0,0,60,0.17,0,0
415,,Dario Del Fabro,0,0.1,0,0.2,0,0
416,,Tomás Esteves,0,0,79.59,0.39,0,0
417,,Luca Ghiringhelli,0.08,0,0,0.54,0.08,0
418,,Aldo Florenzi,0.14,0,37.93,1.05,0,0
419,,Ilias Koutsoupias,0.05,0.05,88.89,0.53,0,0
420,,Filippo Sgarbi,0,0,52.17,0.32,0,0
421,,Andrea Poli,0,0,53.85,0.18,0,0
422,,Alan Matturro,0,0,0,0,0,0
423,,Vittorio Agostinelli,0,0,0,0.5,0,0
424,,Marin Šverko,0,0,0,0,0,0
425,,Damiano Cancellieri,0,0,57.14,0.5,0,0
426,,Alessandro Circati,0,0.07,50,0.14,0,0
427,,Marco Nasti,0.16,0.12,30.77,1.04,0.08,0
428,,Botond Balogh,0,0.07,100,0.13,0,0
429,,Andrea Cagnano,0,0,62.5,0.46,0,0
430,,Aljaž Struna,0,0,0,0.07,0,0
431,,Roberto Inglese,0.17,0.38,50,1.88,0.04,0
432,,Maxime Leverbe,0.06,0,75,0.78,0.06,0
433,,Danilo Quaranta,0,0.06,66.67,0.22,0,0
434,,Marco Armellino,0.07,0.07,46.15,1,0.04,0
435,,Raúl Moro,0.08,0,44.44,0.58,0,0
436,,Roberto Floriano,0,0.08,50,0.58,0,0
437,,Flavio Bianchi,0.12,0,39.02,1.12,0,0
438,,Nunzio Lella,0.06,0.06,60,0.67,0,0
439,,Aaron Connolly,0,0,0,1.2,0,0
440,,Diego Falcinelli,0.18,0.09,41.56,1.76,0.03,0
441,,Simone Ghidotti,0,0,0,0,0,0
442,,Leonardo Capezzi,0,0.08,71.43,0.62,0,0
443,,Andrea Rispoli,0.03,0.03,26.92,0.57,0.03,0
444,,Karlo Butić,0.08,0,40,0.62,0,0
445,,Antonino La Gumina,0.11,0.11,35.71,1.44,0,0
446,,Emil Kornvig,0.07,0.07,40,0.93,0,0
447,,Alin Toșca,0,0.06,50,0.25,0,0
448,,Simone Mazzocchi,0.09,0.15,28.13,1.18,0.06,0
449,,Fabio Ponsi,0,0,68.42,0.24,0,0
450,,Stefano Sturaro,0,0,50,0.5,0,0
451,,Davide Agazzi,0,0.04,57.69,0.64,0,0
452,,Vincenzo Millico,0,0,33.33,0.4,0,0
453,,Lisandru Tramoni,0,0,75,0.6,0,0
454,,Paulo Azzi,0.06,0.06,40,0.84,0,0
455,,Giuseppe Carriero,0.06,0.03,41.67,0.76,0,0
456,,Gabriele Capanni,0.06,0,71.43,0.47,0,0
457,,Stipe Vulikić,0,0,0,0.33,0,0
458,,Mladen Devetak,0,0,0,0.17,0,0
459,,Francesco Donati,0.05,0,37.5,0.25,0,0
