#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
231,,Takahiro Yanagi,0.08,0,59.38,62.92,1.46,0.69
232,,Seiya Maikuma,0.07,0,42.86,49.16,1.04,0.75
233,,Takuma Arano,0.07,0.03,49.15,41.4,0.31,1.28
234,,Shuto Abe,0.07,0,32.14,47.66,1.3,0.8
235,,Tarik Elyounoussi,0.03,0,51.72,52.38,0.58,0.77
236,,Kamiya Yuta,0,0,31.82,48.1,0.29,0.24
237,,Ricardo Graça,0.18,0.05,55.22,53.25,0.64,0.91
238,,Yuki Nogami,0.12,0,63.22,60.37,0.8,0.84
239,,Ryuya Nishio,0.08,0,58.1,53.53,0.25,0.71
240,,Koki Tachi,0,0,55.22,57.63,0.56,0.8
241,,Sun Tae Kwoun,0.04,0,100,100,0.15,0
242,,David Moberg Karlsson,0,0,33.33,29.69,0.2,0.25
243,,Jun Nishikawa,0.07,0,0,54.84,1.36,0.64
244,,Yuta Koike,0,0,30.77,34.04,0.75,0.5
245,,Tetsushi Yamakawa,0.11,0,51.19,51.5,0.57,0.71
246,,Shun Ayukawa,0,0,20,33.33,0,0.67
247,,Musashi Suzuki,0,0,48.28,50.98,1.22,0.56
248,,Alan Cariús,0,0,0,75,1,0
249,,Keita Nakano,0,0,0,50,0,0
250,,Junya Suzuki,0,0,0,85.71,0.5,0
251,,Kei Ishikawa,0,0,100,100,0.4,0
252,,Yoshinori Muto,0.04,0,44.44,44.95,2.23,1.23
253,,Yuji Ono,0.04,0,43.1,45.45,0.81,0.62
254,,Takuji Yonemoto,0.15,0,50,52.44,0.7,1.11
255,,Leandro Damião,0.04,0,44.23,44.39,1.35,0.78
256,,Ryo Takeuchi,0,0,29.41,45.61,0.55,0.27
257,,Hiroto Yamami,0,0,16.67,33.01,0.67,0.71
258,,Takahiro Akimoto,0,0.03,41.18,50.56,1.71,0.65
259,,Hiroki Sakai,0.2,0,62.69,57.22,0.55,0.9
260,,Takaaki Shichi,0.03,0,56.36,50,0.39,1.09
261,,Teruki Hara,0.04,0,44.44,53.25,0.68,0.28
262,,Shinzo Koroki,0.05,0,22.86,43.59,1.38,0.71
263,,Kaito Mori,0,0,42.31,42.55,0.2,0.4
264,,Masato Sasaki,0.05,0,87.5,85.71,0.3,0
265,,Hiroki Miyazawa,0.2,0,53.42,49.39,0.56,1
266,,Kai Shibato,0.08,0,58.82,60.4,0.88,0.54
267,,Yuki Kakita,0.04,0,46.67,38.46,0.5,0.64
268,,Satoki Uejo,0.06,0,0,38.98,0.61,0.56
269,,Kaina Yoshio,0,0,33.33,48.78,0.44,0.78
270,,Ryota Nagaki,0.11,0,47.06,47.56,0.44,0.72
271,,Shinnosuke Hatanaka,0.13,0.06,59.09,63.41,0.63,0.44
272,,Kosuke Yamamoto,0.07,0,40,44.19,0.21,0.68
273,,Fumiya Unoki,0.25,0,80,76.92,0.5,0.25
274,,Chanathip Songkrasin,0.25,0,33.33,48.7,0.94,1
275,,Hotaka Nakamura,0.05,0,51.11,53.79,1,0.59
276,,Kazuki Oiwa,0.06,0.06,56.67,54.29,0.44,0.89
277,,Kenyu Sugimoto,0.07,0,54.33,50.22,0.8,0.67
278,,Ryo Miyaichi,0.07,0,27.78,33.33,0.27,0.67
279,,Se-hun Oh,0,0,66.1,53.26,0.46,0.62
280,,Shunki Higashi,0,0,69.57,49.35,0.11,0.74
281,,Akimi Barada,0.06,0,30.43,40.48,0.45,0.55
282,,Hikaru Nakahara,0,0,31.25,47.19,0.33,0.3
283,,Shota Kaneko,0,0,25,43.75,0.52,0.57
284,,Ryo Takahashi,0,0,38.46,52.13,0.62,0.92
285,,Joel Chima Fujita,0,0,50,39.1,0.1,0.97
286,,Sachiro Toshima,0.15,0,50,50,0.77,1
287,,Yoichi Naganuma,0.19,0,65.79,52.8,0.75,1
288,,Júnior Santos,0.14,0,45.28,43.15,0.82,1.14
289,,Naoki Yamada,0.1,0,44.44,47.5,0.67,0.57
290,,Dodi,0.24,0,45,50.26,1.1,1.31
291,,Ryosuke Shindo,0,0,70,66.67,0.57,0.14
292,,Yota Sato,0,0,50,50,0.5,0.5
293,,Kazuki Nagasawa,0,0,60,46.15,0.25,0.75
294,,Masato Yuzawa,0.15,0,52.63,53.29,0.58,0.73
295,,Yuta Matsumura,0,0,61.54,50,0.25,0.58
296,,Yuta Toyokawa,0,0,27.78,36.63,0.91,1.05
297,,Yuki Otsu,0.19,0,24.53,38.82,1.04,0.65
298,,Luiz Phellype,0.17,0,45,35.85,0.33,0.58
299,,Hiroto Yamada,0.05,0,41.51,40.5,0.5,0.7
300,,Shintaro Nago,0.2,0,20,50,0.4,0.4
301,,Toshihiro Aoyama,0,0,66.67,66.67,0.33,0.2
302,,Daiju Sasaki,0,0,44.64,48.87,0.84,0.58
303,,Ryu Takao,0,0,43.64,48.63,0.38,0.77
304,,Yusuke Segawa,0.06,0.03,35.48,36.24,0.72,1.03
305,,Kosuke Taketomi,0.04,0,32.76,43.01,1,1.2
306,,Yusuke Chajima,0,0,0,21.43,0.14,0.29
307,,Hirotaka Tameda,0,0.04,48.48,58.27,1.25,0.39
308,,Wellington,0,0,52.08,48.78,0.59,0.56
309,,Kentaro Oi,0.1,0,56,55.3,0.19,0.67
310,,Mitsuki Saito,0.15,0,24,45.14,0.73,1.19
311,,Keiya Sento,0.03,0,28.85,50.28,0.88,0.44
312,,Itsuki Someno,0,0,63.64,57.89,0.17,0.33
313,,Kotaro Omori,0.12,0,54.55,47.29,0.32,0.64
314,,Shinya Nakano,0,0,31.91,39.5,0.37,0.68
315,,Jean Patric,0.07,0,43.4,43.42,0.36,0.5
316,,Ryoya Morishita,0.16,0,30.77,46.06,0.94,0.63
317,,Blessing Eleke,0,0,0,10,0.25,0.5
318,,Keiya Shiihashi,0.16,0,37.5,40.72,0.81,1.68
319,,Everaldo,0.11,0,52.38,39.64,0.16,1
320,,Yuya Fukuda,0.07,0,50,56.9,0.73,0.27
321,,Takumi Miyayoshi,0.07,0,32.14,37.5,0.13,0.4
322,,Takuto Hayashi,0,0,0,100,0.2,0
323,,Bruno Mendes,0.05,0,43.55,41.96,0.23,0.5
324,,Keita Nakamura,0.08,0,50,46.05,0.83,1.33
325,,Hiroyuki Abe,0,0,25,38,0.17,0.28
326,,Masaaki Murakami,0,0,84.62,90.91,0.3,0
327,,Ryogo Yamasaki,0.07,0,52.17,40.74,0.73,1.4
328,,Yuta Miyamoto,0,0,54.17,56.47,1.13,0.73
329,,Yuji Kitajima,0,0,60,46.15,0.44,1.33
330,,Takuya Aoki,0.06,0.06,64,52.69,0.94,1.11
331,,Takuto Kato,0,0,40,45,0,0.09
332,,Kosuke Shirai,0.03,0,34.48,47.88,1.24,0.7
333,,Takahiro Ogihara,0.17,0.08,60,48,0.25,1
334,,Kazuya Konno,0,0,18.18,45.71,0.37,0.27
335,,Shu Kurata,0.17,0,25,43.4,0.78,1.11
336,,Takuya Uchida,0.11,0,39.29,47,0.37,0.63
337,,Juan Alano,0.13,0,33.33,35.63,0.78,1.09
338,,Shimpei Fukuoka,0.11,0,44.44,43.48,0.36,1.07
339,,Hideki Ishige,0,0,20.83,36.56,0.7,0.65
340,,Koki Anzai,0.03,0,57.58,53.15,0.48,0.73
341,,Itsuki Oda,0,0,77.78,62.5,0.5,1
342,,Oliver Kamdem,0,0,60,61.54,0,0.33
343,,Alexei Koşelev,0,0,0,0,0,0
344,,Stefan Mugoša,0,0,73.33,63.16,0,0.4
345,,Shota Fukuoka,0,0,38.46,32.14,0.09,0.36
346,,Yu Funabashi,0,0,33.33,41.94,0,0.31
347,,Ryuji Izumi,0.07,0,46.94,47.77,1.07,1.23
348,,Taichi Kikuchi,0.04,0,17.65,38.89,0.52,1.26
349,,Daiki Kaneko,0.09,0.05,40,44.78,0.59,1.18
350,,Adam Taggart,0,0,31.58,31.68,0.55,0.8
351,,Mahiro Yoshinaga,0.06,0,37.04,51.25,0.39,0.44
352,,Bojan Krkic,0,0,0,41.3,0.43,0.07
353,,Yota Maejima,0.09,0,37.5,49.12,0.39,0.43
354,,Ayumu Ohata,0,0,38.46,56.2,1.32,0.5
355,,Isa Sakamoto,0.11,0,9.52,29.31,0.44,1
356,,Yuichi Hirano,0.22,0,42.86,50.91,1.22,1.33
357,,Shoma Doi,0.04,0,35.29,46.3,0.22,0.17
358,,Yusuke Goto,0,0,14.29,40.35,0.33,0.6
359,,Ten Miyagi,0,0,38.1,46.15,0.25,0.3
360,,Taiyo Hiraoka,0,0,54.55,50,0.77,0.92
361,,Sung-Ryong Jung,0,0.03,80,84.62,0.19,0.03
362,,Tatsuya Tanaka,0,0,40,43.82,0.29,0.38
363,,Kentaro Moriya,0,0,33.33,33.33,0.25,0.17
364,,Naoki Kawaguchi,0.1,0,57.14,58.65,1.29,0.76
365,,Lukian,0.06,0,34.62,41.32,1.29,1.29
366,,Nanasei Iino,0.08,0,24.53,34.21,0.58,1.63
367,,Kota Miyamoto,0,0,50,38.64,0.25,0.6
368,,Taiga Hata,0.06,0,46.67,46.43,0.5,0.39
369,,Hidekazu Otani,0,0,0,25,0,0.75
370,,Hidetaka Maie,0,0,50,42.31,0.8,0.8
371,,Norimichi Yamamoto,0.13,0.04,64.06,56.16,0.38,1.13
372,,Hayato Nakama,0.05,0,24.14,37.7,0.53,1.47
373,,Wellington Silva,0,0,20,50,0.42,0.17
374,,Yuki Kajiura,0,0,50,46.15,0.33,0.67
375,,Hirokazu Ishihara,0.03,0.03,46.48,46.4,1.23,1.33
376,,Koya Kitagawa,0.1,0,27.27,34.38,0.1,0.4
377,,Riku Yamane,0,0,38.46,43.75,0.45,0.45
378,,Sotan Tanabe,0.05,0,45.95,49.58,0.23,0.68
379,,Yosuke Furukawa,0,0,20,42.31,0.14,0.14
380,,Shion Inoue,0,0,50,46.15,0.29,0
381,,Yuta Taki,0,0,0,27.27,0,0.56
382,,Yoichiro Kakitani,0,0,50,53.13,0.33,0.14
383,,Hirotaka Mita,0.06,0,44.44,38.3,0.38,0.63
384,,Fabián González,0.22,0.06,32.79,34.78,0.72,1.56
385,,Kazuya Miyahara,0,0,47.83,52,0.33,0.62
386,,Mendes,0.3,0,59.38,55.93,0.25,1
387,,Ryotaro Nakamura,0.08,0,62.5,52.27,0.17,0.58
388,,Ryotaro Meshino,0.15,0,37.5,39.56,0.62,0.69
389,,Yuto Hiratsuka,0,0,50,50,0.5,0.5
390,,Rihito Yamamoto,0,0,0,60,0,0.5
391,,Daiki Matsuoka,0.05,0,55.56,46.51,0.27,0.73
392,,Fuki Yamada,0,0,28,34.62,0.43,0.64
393,,Ryo Germain,0.03,0,29.69,37.06,0.59,0.52
394,,Yoshihiro Nakano,0,0,30.43,38.46,0.35,1.06
395,,Taika Nakashima,0.2,0,47.37,37.7,0.13,0.67
396,,Takuya Okamoto,0.09,0,40,35,0.27,1
397,,Quenten Martinus,0.33,0,0,62.5,0.67,0.33
398,,Yojiro Takahagi,0,0,0,42.86,0,1
