Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Alan Minda,0.17,0,53.85,0.5,0,0,0,0.33,0,0.17,0,0.33,0,0,8.67,82.69,3.17,80,0,0,0,0,0.33,0,0,0,33.33,51.85,1,0.17,6,1,3
Tomás Oneto,0.07,0,100,0.14,0,0,1.14,1,0,2.79,0,0.21,0,0,35.36,85.45,2.79,60.19,0,0.29,0,0,1.5,0.07,0.21,0,69.23,66.67,0.57,0.71,14,2,2
Thiago Serpa,0,0,100,0.07,0,0,1.71,1.07,0,0.5,0,0.36,0.14,0,34.36,87.94,3.86,53.13,0,0.07,0,0,1.21,0.14,0.14,0,50,64.71,1.07,1.14,14,1,3
Sergio Gonzalez,0.2,0.2,50,1.9,0.07,0,0.67,0.17,0,0.33,0,0.5,0.17,0.1,16.07,71.78,4.6,46.81,0,0.1,0,0,1.13,0.17,0.17,0,46.97,46.4,1.23,1,30,2,4
Edison Caicedo,0.05,0,72.73,0.75,0.05,0,1.9,0.55,0.1,0.85,0,1.1,0,0,33.1,85.5,4.35,67.33,0,0.3,0,0,0.8,0.2,0.25,0.05,45.45,57.76,1.85,1.35,20,3,3
Jordan Rezabala,0.1,0.14,54.35,1.19,0.1,0,1,0.57,0,0.1,0,0.62,0.1,0.05,25.33,82.14,7.29,65.52,0,0.05,0,0,0.81,0.14,0.19,0.05,46.88,56.88,3,0.71,21,1,3
Gabriel Cortez,0.21,0.04,40.91,1.5,0,0,0.13,0.08,0,0.04,0,0.21,0,0.17,16.04,77.4,5.04,68.97,0,0.04,0,0,0.54,0.04,0.21,0,50,40.51,0.58,0.29,24,2,3
Jhon Cifuente,0.39,0.14,40,1.57,0,0,0.04,0,0,0.25,0,0.14,0.14,0.07,7.18,69.65,2.21,69.23,0,0,0,0,0.54,0.04,0.14,0,43.75,27.27,0.21,0.68,28,3,4
Jerry Parrales,0.04,0,64.29,1.08,0,0,1.48,1.76,0.08,3.2,0.04,1.08,0.08,0.08,26.2,64.73,4.8,37.91,0,0.16,0,0,1.32,0.12,0.56,0,62,53.93,1.04,1.32,25,2,2
Jhojan Julio,0.15,0.11,50,1.37,0,0,1.04,0.15,0,0.19,0,0.3,0.3,0.11,25.74,82.88,10.37,60.61,0,0.11,0,0,0.41,0.04,0.19,0,45,40.17,1.11,2.19,27,2,3
Bryan García,0,0.14,57.14,1.57,0,0,2.57,0.43,0,0.14,0,0.86,0,0,32,84.38,9.71,50,0,0.29,0,0,0.43,0,0.14,0,66.67,54.39,0.43,1,7,1,3
Alexis Rodríguez,0.17,0.23,44,1.63,0,0,0.63,0.2,0,0.3,0,0.4,0.13,0.17,11.6,73.56,3.53,38.46,0,0,0,0,0.7,0.17,0.23,0,29.82,42.46,0.97,0.8,30,2,4
Jan Hurtado,0.3,0.2,25,1,0.2,0,0.3,0,0,0.7,0,0.1,0.2,0.1,2.6,76.92,0.8,100,0,0,0,0,0.1,0,0.4,0,50,48.72,0.5,0.6,10,1,4
Jhon Ontaneda,0,0.07,50,0.41,0,0,1.67,1.48,0,4.3,0,0.7,0.04,0.04,39.04,79.13,3.67,46.63,0,0.19,0,0,1.41,0.19,0.41,0,64.18,59.89,0.52,0.78,27,2,2
