Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Antony Iannarilli,0,0,0,0,0,0,0,0,0.05,1.08,0.03,0.05,0,0,24.39,54.91,0.97,33.33,3.11,0.34,0.21,0.08,1.13,0.24,0.08,0,91.67,73.68,0.08,0.05,38,3,1
Michele Collocolo,0.11,0.08,60.71,1,0.03,0,2.47,1,0,0.97,0,0.78,0.08,0.17,29.14,74.93,6.83,51.3,0,0.22,0,0,1.14,0.03,0.14,0.03,52.53,52.86,0.78,1.47,36,1,3
Marco Varnier,0.07,0.2,66.67,0.47,0.07,0,1.4,0.73,0,2.53,0.07,0.13,0.13,0,37.47,86.83,2.2,60.67,0,0.13,0,0,0.6,0,0.13,0,75,67.82,0.4,0.87,15,2,2
Enrico Alfonso,0,0,100,0,0,0,0.06,0,0.03,1.06,0.03,0.06,0,0,26.49,76.05,0.8,50.23,2.94,0.26,0.14,0.03,1.09,0.14,0.11,0,80,72.73,0.23,0.06,35,3,1
Federico Ricci,0,0.18,25,1.55,0,0,1.09,0.36,0,0,0,0.27,0.18,0.18,13.91,73.86,5.91,45,0,0,0,0,0.36,0,0.09,0,28.57,41.94,0.91,1.27,11,2,4
Cas Odenthal,0,0.03,100,0.53,0,0,1.6,1.13,0,4,0,0.47,0.03,0.03,43.03,80.71,3.73,43.23,0,0.37,0,0,0.93,0.23,0.23,0,54.46,55.74,0.67,1.17,30,1,2
Mato Jajalo,0,0,90,0.57,0,0,0.71,0.86,0,2.29,0,0.29,0.29,0,41.57,77.32,9.29,35.9,0,0,0,0,0.71,0,0.14,0,46.15,59.62,1.57,1,7,3,3
Cristian Dell'Orco,0,0,62.5,0.24,0,0,1.33,1.48,0,2.86,0,0.14,0,0,30.05,71.63,3.52,42.22,0,0.29,0,0,1.05,0.14,0.24,0,56.41,59.87,0.81,0.67,21,2,2
Ettore Gliozzi,0.31,0.25,33.33,1.94,0.06,0,0.19,0.19,0,0.44,0,0.19,0.09,0.09,12.19,62.56,3.28,33.33,0,0.03,0,0,0.69,0.06,0.03,0,41.33,43.48,1.16,0.56,32,2,4
Fabio Maistro,0.16,0,68.42,1.81,0.03,0,0.63,0.22,0,0.31,0,0.66,0.16,0.06,24.97,86.11,9.16,64.63,0,0,0,0,0.66,0.09,0.06,0.03,33.33,47.1,1.53,0.84,32,2,3
Mattia Maita,0.03,0.03,69.23,0.47,0,0,2.81,0.66,0,0.88,0.06,1.19,0.09,0.06,41.72,84.49,10.44,61.54,0,0.25,0,0,0.53,0.16,0.44,0,37.5,51.5,1.06,1.97,32,2,3
Manolo Portanova,0.08,0.17,62.07,1.42,0,0,1.5,0.5,0,0.33,0,0.33,0.08,0.08,11.83,66.9,3.67,40,0,0,0,0,0.42,0,0.17,0,41.38,52.89,1.33,1.33,12,1,3
Leo Štulac,0,0,50,1,0,0,0.55,0.27,0,0.82,0,0.27,0.18,0.18,33,80.17,6.64,44.23,0,0,0,0,0.73,0.09,0.09,0,57.14,56,1,0.73,11,2,3
Morten Frendrup,0.05,0.03,66.67,0.76,0.03,0,2.86,1.3,0,0.62,0,1.14,0.03,0,38.16,83.64,8.19,51.28,0,0.35,0,0,0.59,0.08,0.08,0,44.62,53.66,0.73,1.14,37,1,3
Olimpiu Moruțan,0.17,0.09,63,1.8,0,0,0.71,0.31,0.03,0.14,0,1.09,0.23,0.23,20.06,73.79,8.17,51.16,0,0.06,0,0,0.57,0.06,0.14,0,32,45.45,1.83,0.83,35,1,3
Antonio Pergreffi,0.06,0.1,50,0.61,0.06,0,1,1.81,0.03,4.26,0,0.32,0.06,0.03,34.74,78.37,1.97,40.32,0,0.26,0,0,1.23,0.16,0.13,0,56.21,58.09,0.68,0.71,31,3,2
Giacomo Calò,0,0,50,0.83,0,0,0.71,0.88,0,0.79,0.04,0.71,0.13,0,25.92,73.79,3.33,40.27,0,0.08,0,0,0.71,0.04,0.21,0,53.85,60.14,2.21,0.92,24,2,3
Gabriele Angella,0.06,0,60,0.94,0.06,0,0.65,1.47,0,3.47,0.06,0.24,0.12,0.06,30.71,68.39,3.24,46,0,0.18,0,0,0.88,0.18,0.12,0,74.55,65.38,0.35,1.24,17,3,2
Paolo Bartolomei,0,0,70.83,1.06,0,0,0.69,0.91,0,0.75,0,0.5,0.09,0.09,26.25,66.67,6.81,42.79,0,0.09,0,0,0.69,0.09,0.19,0,47.62,48.1,0.53,0.75,32,3,3
Pasquale Schiattarella,0,0,64.71,0.36,0,0,1.46,0.96,0,1.43,0,0.64,0.14,0.04,45.25,82.95,10.25,57.69,0,0.07,0,0,0.79,0.18,0.36,0,70,67.16,2.21,1,28,3,3
Filippo Falco,0,0.07,61.54,1.5,0,0,0.43,0,0,0,0,0.14,0.07,0,27.14,87.63,12.21,64.29,0,0,0,0,0.71,0.07,0.07,0,16.67,47.37,1.5,0.57,14,3,3
Luca Ceppitelli,0,0.09,100,0.36,0,0,1.41,1.77,0.05,4.18,0.05,0.41,0.05,0,55.36,85.47,3.45,53.98,0,0.05,0,0,0.95,0.23,0.23,0,66.34,61.5,0.68,1.18,22,3,2
Raffaele Pucino,0,0.03,25,0.65,0,0,1.24,1.03,0.03,1.79,0,0.24,0.09,0.09,36.26,82.4,6.76,53.67,0,0.26,0,0,0.59,0.21,0.12,0.03,61.9,62.07,0.59,0.74,34,3,2
Stefano Gori,0,0,0,0,0,0,0,0,0,0.59,0.03,0.03,0.03,0,23.28,48.72,1.19,32.91,3.06,0.34,0.09,0.03,1.03,0.22,0,0,90,88.89,0.25,0,32,2,1
