Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Richie Towell,0.19,0.08,100,1.62,0.04,0,0.35,0.31,0,0.58,0,0.46,0.08,0.04,19.85,82.17,6.73,46.88,0,0.12,0,0,0.38,0.19,0.23,0.04,34.62,35.48,0.46,0.77,26,3,3
Daniel Grant,0.17,0,38.46,2.25,0.08,0,0.92,0.25,0,0.17,0,0.42,0,0,15.33,77.72,4.83,73.33,0,0,0,0,0.67,0,0,0,40,39.39,0.33,0.58,12,1,3
Paul Doyle,0.12,0,77.78,0.44,0,0,0.96,0.44,0,0.16,0,0.28,0.08,0.12,19.56,79.14,3.96,48.72,0,0,0,0,0.6,0.12,0.12,0,41.67,53.92,0.76,0.68,25,2,3
Will Jarvis,0.25,0.17,50,1.25,0,0,1.17,0.08,0,0.33,0,0.42,0.08,0,20.75,80.32,5.67,62.5,0,0,0,0,0.33,0.33,0.08,0,0,50.86,2.08,0.67,12,1,4
Darragh Leahy,0,0,75,0.33,0,0,1.21,0.96,0.04,1.33,0,0.5,0.21,0.17,40.33,71.07,8.04,36.09,0,0.21,0,0,1.04,0.04,0.13,0,54.1,57.96,0.96,0.67,24,2,2
Louie Annesley,0.14,0,100,0.29,0,0,0.43,0.86,0,2.71,0,0,0,0,46.5,74.65,4.14,36.72,0,0.29,0,0,0.64,0.21,0.43,0,69.7,56.52,0.64,1.36,14,1,2
Liam Burt,0.06,0,64.29,1.13,0,0,0.69,0.13,0,0.25,0,0.19,0.06,0.06,11.31,70.72,4.44,53.33,0,0,0,0,0.13,0.13,0.06,0,28.57,54.17,1.06,0.56,16,1,3
William Fitzgerald,0.04,0.04,48.15,0.93,0,0,1.54,0.46,0,0.39,0,0.29,0.14,0.11,25.96,79.78,8.32,53.57,0,0.11,0,0,1,0.32,0.14,0,40.43,51.87,1.32,0.96,28,1,3
Euclides Cabral,0.2,0,33.33,0.6,0,0,0.2,1,0,0.8,0,0,0,0,22.4,81.25,4.2,50,0,0,0,0,0.2,0.2,0.2,0,25,27.27,0.4,1.4,5,1,2
Bartlomiej Kukułowicz,0,0,66.67,0.67,0,0,0.89,0.89,0,0.78,0.11,0.11,0,0.11,42.78,75.58,8.33,56.25,0,0.11,0,0,0.78,0.11,0.11,0,71.43,63.64,0.67,0.44,9,1,2
