Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Shogo Asada,0,0,57.14,0.5,0,0,1.19,1.78,0,3.63,0,0.34,0.03,0.03,36.69,76.06,2.78,36.53,0,0.25,0,0,0.78,0.25,0.03,0.03,65.97,65.33,0.38,0.5,32,2,2
Yoshifumi Kashiwa,0.12,0.08,50,0.52,0,0,1.16,0.64,0,0.28,0,0.28,0.08,0.2,33.36,80.7,10.72,23.53,0,0.24,0,0,0.8,0.08,0.04,0,42.11,57.46,1,0.56,25,3,3
Takuma Nishimura,0.37,0.19,36,2.04,0.11,0,0.78,0.15,0,0.22,0,0.59,0.11,0.07,25.7,78.96,10.22,55,0,0.15,0,0,0.59,0.04,0.04,0,42.03,39.41,1.3,1.52,27,2,3
Tokuma Suzuki,0.08,0,44.44,0.52,0,0,1.32,1.16,0,0.72,0,0.68,0.04,0.12,33.8,84.97,5.8,60,0,0.2,0,0,0.68,0.04,0.04,0,57.69,51.68,1,1.12,25,2,3
Ikuma Sekigawa,0,0,40,0.28,0,0,1.28,1.31,0.03,3.59,0.03,0.53,0.03,0,36.56,75.64,3.78,48.51,0,0.25,0,0,0.75,0.19,0.06,0,62.5,64.9,0.88,0.34,32,1,2
Seung-gyu Kim,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,27.08,55.4,1,29.22,2.23,0.38,0,0,0.77,0.15,0,0,100,100,0.15,0,13,3,1
Kenta Nishizawa,0.2,0,57.14,0.7,0,0,0.6,0.6,0,0.7,0,0.8,0,0.1,22.4,82.59,5.1,39.13,0,0,0,0,0.8,0.3,0,0,50,44.74,0.3,0.2,10,2,3
Diego,0.06,0,52.63,0.84,0.03,0,1.06,1.94,0,1.75,0,0.5,0.19,0.13,47.47,80.12,8.38,39.46,0,0.31,0,0,1.06,0.06,0.16,0,59.84,56.66,1.13,1.09,32,2,2
Kuryu Matsuki,0.06,0.1,70.37,0.97,0,0,1.52,1.13,0,0.87,0,0.65,0.16,0.1,35.45,82.89,7.35,60,0,0.32,0,0,0.74,0.23,0.1,0.03,31.48,50.21,1.23,1.1,31,1,3
Daihachi Okamura,0.04,0.12,72.73,0.92,0.04,0,1.54,2.54,0.04,2.65,0.08,0.46,0.04,0.04,56.73,84.14,3.35,42.42,0,0.19,0,0,1.15,0.31,0.08,0,62.79,63.89,1.27,0.81,26,2,2
Riki Harakawa,0,0.06,35.71,0.5,0,0,2.06,1.56,0,0.78,0,0.89,0.11,0.17,48.56,83.3,9.11,53.54,0,0.22,0,0,0.89,0.17,0.06,0,38.89,43.31,0.33,1.11,18,2,3
Hiroshi Kiyotake,0.08,0,41.18,0.92,0.04,0,0.79,0.42,0,0.42,0,0.33,0.17,0.17,36.29,81.63,10.46,64.52,0,0.04,0,0,0.88,0.08,0,0,46.15,54,1.5,0.42,24,3,3
Tsuyoshi Ogashiwa,0.15,0.31,57.58,1.54,0,0,0.85,0.38,0,0.08,0,0.23,0.15,0.23,21.23,78.26,7.15,81.25,0,0.08,0,0,0.38,0.38,0,0,23.53,45.45,0.85,0.46,13,2,4
